GEOID,geometry,NAME,variable,value,moe,Year,short_label,SE,CoV
53033001000,"list(list(c(-122.300137, -122.301537, -122.301437, -122.302037, -122.301009, -122.299737, -122.290537, -122.290537, -122.290637, -122.290537, -122.290437, -122.291937, -122.292537, -122.299237, -122.300137, 47.71032, 47.70672, 47.70402, 47.70102, 47.701078, 47.70112, 47.70102, 47.70472, 47.70832, 47.71012, 47.71202, 47.71192, 47.71192, 47.71202, 47.71032)))","Census Tract 10, King County, Washington",B25064_001,900,270,2009,Median Gross Rent,164.14834461617772,0.1823870495735308
53033001100,"list(list(c(-122.312138, -122.312138, -122.312038, -122.311938, -122.309438, -122.309438, -122.302937, -122.302037, -122.301437, -122.301537, -122.300137, -122.299237, -122.301637, -122.306138, -122.306938, -122.312338, -122.312138, 47.70842, 47.70672, 47.70392, 47.70122, 47.70122, 47.70032, 47.70022, 47.70102, 47.70402, 47.70672, 47.71032, 47.71202, 47.71202, 47.71222, 47.71222, 47.71222, 47.70842)))","Census Tract 11, King County, Washington",B25064_001,1057,177,2009,Median Gross Rent,107.60835924838318,0.10180544867396706
53033001200,"list(list(c(-122.333738, -122.333738, -122.331838, -122.330538, -122.329538, -122.328338, -122.328338, -122.322938, -122.322938, -122.320138, -122.317438, -122.311938, -122.312038, -122.312138, -122.312138, -122.312338, -122.317738, -122.320538, -122.323238, -122.326722, -122.327038, -122.327438, -122.328538, -122.329087, -122.331138, -122.333838, -122.333738, 47.70702, 47.70322, 47.70322, 47.701445, 47.70142, 47.70142, 47.70312, 47.70312, 47.70132, 47.70132, 47.70122, 47.70122, 47.70392, 47.70672, 
47.70842, 47.71222, 47.71232, 47.71232, 47.71232, 47.712423, 47.71242, 47.71402, 47.71242, 47.712408, 47.71242, 47.71242, 47.70702)))","Census Tract 12, King County, Washington",B25064_001,858,30,2009,Median Gross Rent,18.238704957353082,0.021257231885026904
53033001300,"list(list(c(-122.344639, -122.347339, -122.349939, -122.349939, -122.350039, -122.349839, -122.349939, -122.349939, -122.347339, -122.344539, -122.344539, -122.341939, -122.341839, -122.335038, -122.335038, -122.333738, -122.333738, -122.339339, -122.341939, -122.344639, -122.344639, 47.70662, 47.70662, 47.70652, 47.70512, 47.70292, 47.70152, 47.69972, 47.69792, 47.69782, 47.69782, 47.69712, 47.69712, 47.69772, 47.69782, 47.70132, 47.70322, 47.70702, 47.70702, 47.70692, 47.70702, 47.70662)))","Census Tract 13, King County, Washington",B25064_001,896,63,2009,Median Gross Rent,38.30128041044147,0.04274696474379629
53033001400,"list(list(c(-122.360839, -122.360639, -122.363339, -122.36634, -122.36784, -122.37014, -122.378790995234, -122.38044, -122.368997, -122.37084, -122.37524, -122.37384, -122.37394, -122.37394, -122.37394, -122.37384, -122.37384, -122.368539, -122.365839, -122.364539, -122.363339, -122.360639, -122.358139, -122.355339, -122.349939, -122.349939, -122.350139, -122.350139, -122.350239, -122.355339, -122.356739, -122.358039, -122.360839, 47.712419, 47.708819, 47.708919, 47.711219, 47.711919, 47.711219, 
47.7121696588169, 47.709119, 47.708919, 47.708419, 47.707919, 47.707619, 47.705219, 47.703419, 47.701619, 47.697919, 47.695719, 47.698519, 47.699819, 47.700419, 47.701119, 47.702519, 47.703719, 47.705119, 47.70512, 47.70652, 47.70812, 47.70882, 47.712519, 47.712419, 47.712419, 47.712419, 47.712419)))","Census Tract 14, King County, Washington",B25064_001,888,78,2009,Median Gross Rent,47.42063288911801,0.053401613613871635
53033001500,"list(list(c(-122.39529196527, -122.395718119217, -122.396752407723, -122.400229411886, -122.400798322003, -122.39964, -122.39834, -122.39694, -122.39564, -122.39294, -122.38874, -122.38754, -122.38744, -122.38744, -122.38744, -122.38734, -122.38734, -122.38744, -122.38994, -122.393248, -122.39529196527, 47.699251237337, 47.6987611180567, 47.6975715837544, 47.6935726843191, 47.6929183812927, 47.690519, 47.690619, 47.690519, 47.690619, 47.690619, 47.690619, 47.690619, 47.694019, 47.696285, 47.698219, 
47.698919, 47.700119, 47.701519, 47.701719, 47.701602, 47.699251237337)))","Census Tract 15, King County, Washington",B25064_001,943,55,2009,Median Gross Rent,33.437625755147316,0.03545877598637043
53033001600,"list(list(c(-122.388182216542, -122.393248, -122.38994, -122.38744, -122.38734, -122.38734, -122.38744, -122.38744, -122.38744, -122.38754, -122.38324, -122.38214, -122.38104, -122.37654, -122.37384, -122.37384, -122.37384, -122.37384, -122.37394, -122.37394, -122.37394, -122.37384, -122.37524, -122.37084, -122.368997, -122.38044, -122.388182216542, 47.7045751022994, 47.701602, 47.701719, 47.701519, 47.700119, 47.698919, 47.698219, 47.696285, 47.694019, 47.690619, 47.690619, 47.690619, 47.690619, 
47.690619, 47.690619, 47.694219, 47.695719, 47.697919, 47.701619, 47.703419, 47.705219, 47.707619, 47.707919, 47.708419, 47.708919, 47.709119, 47.7045751022994)))","Census Tract 16, King County, Washington",B25064_001,998,331,2009,Median Gross Rent,201.23371136279567,0.2016369853334626
53033001700,"list(list(c(-122.358139, -122.360639, -122.363339, -122.364539, -122.365839, -122.368539, -122.37384, -122.37384, -122.37384, -122.370339, -122.367039, -122.365839, -122.363039, -122.360439, -122.357839, -122.355039, -122.349839, -122.349739, -122.349839, -122.349839, -122.349939, -122.349939, -122.349839, -122.350039, -122.349939, -122.355339, -122.358139, 47.703719, 47.702519, 47.701119, 47.700419, 47.699819, 47.698519, 47.695719, 47.694219, 47.690619, 47.690619, 47.69072, 47.69062, 47.69062, 47.69062, 
47.69062, 47.69052, 47.69052, 47.69202, 47.69232, 47.69342, 47.69792, 47.69972, 47.70152, 47.70292, 47.70512, 47.705119, 47.703719)))","Census Tract 17, King County, Washington",B25064_001,920,63,2009,Median Gross Rent,38.30128041044147,0.041631826533088556
53033001800,"list(list(c(-122.349839, -122.349839, -122.349739, -122.349839, -122.347039, -122.344439, -122.340238, -122.339038, -122.337938, -122.333638, -122.333538, -122.333638, -122.334938, -122.335038, -122.341839, -122.341939, -122.344539, -122.344539, -122.347339, -122.349939, -122.349839, 47.69342, 47.69232, 47.69202, 47.69052, 47.69052, 47.69052, 47.69052, 47.69052, 47.69042, 47.69042, 47.69252, 47.69592, 47.69592, 47.69782, 47.69772, 47.69712, 47.69712, 47.69782, 47.69782, 47.69792, 47.69342)))","Census Tract 18, King County, Washington",B25064_001,1024,101,2009,Median Gross Rent,61.403640023088705,0.059964492210047564
53033001900,"list(list(c(-122.335038, -122.335038, -122.334938, -122.333638, -122.333538, -122.333638, -122.333038, -122.330938, -122.329238, -122.329338, -122.328538, -122.328138, -122.324138, -122.322738, -122.320138, -122.317338, -122.317338, -122.317338, -122.317238, -122.317338, -122.317338, -122.317406, -122.317438, -122.317438, -122.320138, -122.322938, -122.322938, -122.328338, -122.328338, -122.329538, -122.330538, -122.331838, -122.333738, -122.335038, 47.70132, 47.69782, 47.69592, 47.69592, 47.69252, 
47.69042, 47.69042, 47.69042, 47.69032, 47.69142, 47.69042, 47.69042, 47.69032, 47.69032, 47.69032, 47.69032, 47.69212, 47.69402, 47.69572, 47.69672, 47.69762, 47.698368, 47.69922, 47.70122, 47.70132, 47.70132, 47.70312, 47.70312, 47.70142, 47.70142, 47.701445, 47.70322, 47.70322, 47.70132)))","Census Tract 19, King County, Washington",B25064_001,1093,133,2009,Median Gross Rent,80.85825864426533,0.0739782787230241
