"Year","FID_HRA_20","HRA2010v2_","burden","value","SE","CoV"
2009,0,"Auburn-North","highly_burdened",1199.82014924778,835.839943994979,0.696637695673808
2009,0,"Auburn-North","low_burden",2065.00432327359,1454.48249704111,0.704348402881479
2009,0,"Auburn-North","severely_burdened",1098.58081243281,370.449774382925,0.337207577440356
2009,1,"Auburn-South","highly_burdened",936.426948296894,563.232044732582,0.601469282528602
2009,1,"Auburn-South","low_burden",1524.66892086039,844.29942618748,0.553759189707253
2009,1,"Auburn-South","severely_burdened",935.885721879368,301.465570511664,0.322117928999158
2009,2,"Ballard","highly_burdened",2006.40532504066,1084.87781386473,0.540707204234887
2009,2,"Ballard","low_burden",5857.7973023272,2225.14898069134,0.379861040908215
2009,2,"Ballard","severely_burdened",1355.48801767192,562.814829406424,0.415211954712128
2009,3,"Beacon/Gtown/S.Park","highly_burdened",1574.88411805467,790.466488092727,0.501920413718522
2009,3,"Beacon/Gtown/S.Park","low_burden",2526.62246004275,1383.6833134172,0.547641499788531
2009,3,"Beacon/Gtown/S.Park","severely_burdened",1363.20262185959,446.276223380198,0.327373360514387
2009,4,"Bear Creek/Carnation/Duvall","highly_burdened",518.517930115538,1647.11361404434,3.17657986036728
2009,4,"Bear Creek/Carnation/Duvall","low_burden",1672.37080759594,2251.09751190172,1.34605166610012
2009,4,"Bear Creek/Carnation/Duvall","severely_burdened",502.392337381642,317.135000085244,0.631249675777464
2009,5,"Bellevue-Central","highly_burdened",1814.08154881716,862.027930143315,0.475186978614819
2009,5,"Bellevue-Central","low_burden",4767.02474074186,1673.01815855794,0.35095646646415
2009,5,"Bellevue-Central","severely_burdened",1654.69695930641,425.974141577619,0.257433325891994
2009,6,"Bellevue-NE","highly_burdened",950.545451032333,941.966867049191,0.990975093327915
2009,6,"Bellevue-NE","low_burden",3325.84833138255,1507.39394772705,0.453235925854873
2009,6,"Bellevue-NE","severely_burdened",719.900336388738,321.726642812551,0.446904420723625
2009,7,"Bellevue-South","highly_burdened",331.687109352377,596.662932563356,1.79887284051631
2009,7,"Bellevue-South","low_burden",964.243017584178,1049.15444169374,1.08806019080367
2009,7,"Bellevue-South","severely_burdened",261.956893581065,151.488770405683,0.578296559921617
2009,8,"Bellevue-West","highly_burdened",1062.99680571496,504.102472218401,0.474227645377871
2009,8,"Bellevue-West","low_burden",3233.5343889507,1100.87578068278,0.340455875293789
2009,8,"Bellevue-West","severely_burdened",1168.38495949404,298.175491012394,0.255203123413636
2009,9,"Black Diamond/Enumclaw/SE County","highly_burdened",841.364921099843,1295.25917040123,1.53947370269258
2009,9,"Black Diamond/Enumclaw/SE County","low_burden",1911.37987235564,2358.22768297934,1.23378283777415
2009,9,"Black Diamond/Enumclaw/SE County","severely_burdened",702.069297978243,518.865617932898,0.73905185631544
2009,10,"Bothell/Woodinville","highly_burdened",1124.60375302393,792.730688669743,0.704897779807496
2009,10,"Bothell/Woodinville","low_burden",2427.60516772323,1375.55479984355,0.566630364003401
2009,10,"Bothell/Woodinville","severely_burdened",1211.25488438307,396.820210095726,0.327610823462511
2009,11,"Burien","highly_burdened",1865.84652384668,1062.13132009821,0.569249028000703
2009,11,"Burien","low_burden",3375.90772259468,1790.0687602046,0.530248130961583
2009,11,"Burien","severely_burdened",1779.78397054974,514.564940650259,0.289116515916997
2009,12,"Capitol Hill/E.lake","highly_burdened",3579.25642972358,1417.4164546953,0.39600863545973
2009,12,"Capitol Hill/E.lake","low_burden",8783.44865055111,2596.75096909483,0.295641390119802
2009,12,"Capitol Hill/E.lake","severely_burdened",2240.52197257868,489.641617936358,0.218539083271214
2009,13,"Central Seattle","highly_burdened",2180.97230379863,1161.22929667096,0.532436516799609
2009,13,"Central Seattle","low_burden",4286.93636315113,1878.88193633995,0.438280808758932
2009,13,"Central Seattle","severely_burdened",2600.85783013139,648.673101297266,0.249407366209054
2009,14,"Covington/Maple Valley","highly_burdened",455.013567498687,1125.74747812737,2.47409650731044
2009,14,"Covington/Maple Valley","low_burden",1282.73585236572,2095.47801813356,1.6336005688692
2009,14,"Covington/Maple Valley","severely_burdened",384.321316448646,329.640141596892,0.857720161460105
2009,15,"Delridge","highly_burdened",1395.20863111028,784.034431653246,0.561947807783648
2009,15,"Delridge","low_burden",2056.27767844481,1234.94105782026,0.600571153772508
2009,15,"Delridge","severely_burdened",1298.73484259742,348.845080679035,0.268603774409685
2009,16,"Des Moines/Normandy Park","highly_burdened",1038.64537880103,765.627197524617,0.737140137674737
2009,16,"Des Moines/Normandy Park","low_burden",2379.95372656208,1432.50685867327,0.601905340715415
2009,16,"Des Moines/Normandy Park","severely_burdened",881.275600162177,311.114267494708,0.353027211280393
2009,17,"Downtown","highly_burdened",4532.42886864534,1673.72266479666,0.369277205071042
2009,17,"Downtown","low_burden",10751.7811545841,3213.10806479505,0.2988442583232
2009,17,"Downtown","severely_burdened",4535.26870000635,937.105082677267,0.206626143821634
2009,18,"East Federal Way","highly_burdened",878.84835784215,652.718302971102,0.742697300560168
2009,18,"East Federal Way","low_burden",1832.55174402246,1410.40633275369,0.769640659454361
2009,18,"East Federal Way","severely_burdened",636.205764695826,335.492834041296,0.527333848038451
2009,19,"Fairwood","highly_burdened",285.215039228246,701.286202653762,2.45879812141516
2009,19,"Fairwood","low_burden",1091.12558664792,980.201257521225,0.898339539935576
2009,19,"Fairwood","severely_burdened",292.797866608505,264.953699092122,0.904903106573477
2009,20,"Fed Way-Central/Military Rd","highly_burdened",2220.35700425479,1144.23625632574,0.515338864035412
