Preliminary Risk Category,Neighborhood,Address,City,State,Zip Code,Year Built,No. Stories,Retrofit Level,Building Use,Estimated Number of Occupants,Confirmation Source,Long/Lat
Critical Risk,Broadview/Bitter Lake,415 N 117th St,Seattle,WA,98133,1938,2,Permitted Retrofit,Schools,101+,Permit Drawing Review,POINT (-122.353404 47.714126)
Medium Risk,Columbia City,4901 Rainier Ave S,Seattle,WA,98118,1913,1,No visible retrofit,Commercial,11-100,Permit Drawing Review,POINT (-122.285011 47.557747)
Medium Risk,Interbay,1038 Elliott Ave W,Seattle,WA,98119,1925,2,No visible retrofit,Industrial,1-10,Field Visit,POINT (-122.370707 47.628348)
Medium Risk,Capitol Hill,309 Belmont Ave E,Seattle,WA,98102,1928,3,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.324031 47.621166)
Medium Risk,Ballard,1836 NW Market St,Seattle,WA,98107,1926,1,Substantial Alteration,Commercial,11-100,Field Visit,POINT (-122.381951 47.668663)
Medium Risk,Georgetown,421 S River St,Seattle,WA,98108,1941,2,No visible retrofit,Industrial,11-100,Google Street View,POINT (-122.328798 47.543723)
Medium Risk,Pioneer Square/Chinatown International District,665 S King St,Seattle,WA,98104,1909,3,Substantial Alteration,Commercial/Residential,101+,Field Visit,POINT (-122.32412899999999 47.598366)
Medium Risk,Judkins Park,109 18th Ave S,Seattle,WA,98144,1911,1,No visible retrofit,Commercial,1-10,Google Street View,POINT (-122.30896699999998 47.601344)
Medium Risk,Madrona/Leschi,800 Lake Washington Blvd,Seattle,WA,98122,1922,1,Visible retrofit,Public Assembly,11-100,Photos from Previous Surveys,POINT (-122.28278200000001 47.610109)
High Risk,Capitol Hill,1506 11th Ave,Seattle,WA,98122,1916,2,No visible retrofit,Public Assembly,101+,Field Visit,POINT (-122.318133 47.614693)
Medium Risk,Cascade/Eastlake,234 Fairview Ave N,Seattle,WA,98109,1926,1,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.33434000000001 47.620686)
