Preliminary Risk Category,Neighborhood,Address,City,State,Zip Code,Year Built,No. Stories,Retrofit Level,Building Use,Estimated Number of Occupants,Confirmation Source,Long/Lat
Medium Risk,Duwamish/SODO,3100 Airport Way S,Seattle,WA,98134,1890,2,No visible retrofit,Commercial,11-100,Field Visit,POINT (-122.321437 47.575484)
Medium Risk,Belltown,2114 Western Ave,Seattle,WA,98121,1902,2,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.345253 47.611473000000004)
Medium Risk,Univ Dist,4341 University Way NE,Seattle,WA,98105,1912,2,No visible retrofit,Commercial/Office,11-100,Photos from Previous Surveys,POINT (-122.31314 47.661028)
Medium Risk,Laurelhurst/Sand Point,7777 62nd Ave NE,Seattle,WA,98115,1938,1,Substantial Alteration,Commercial,11-100,Previous Seismic Reports,POINT (-122.262186 47.682119)
Medium Risk,Univ Dist,4346 University Way NE,Seattle,WA,98105,1909,4,Permitted Retrofit,Commercial/Residential,101+,Google Street View,POINT (-122.31313900000002 47.661074)
Medium Risk,Pioneer Square/Chinatown International District,206 3rd Ave S,Seattle,WA,98104,1904,4,Visible retrofit,Office,11-100,Field Visit,POINT (-122.330283 47.600583)
Critical Risk,Univ Dist,5601 University Way NE,Seattle,WA,98105,1925,1,Permitted Retrofit,Schools,101+,Google Street View,POINT (-122.313044 47.66965)
Medium Risk,Cascade/Eastlake,2329 4th Ave,Seattle,WA,98121,1946,1,No visible retrofit,Commercial,11-100,Photos from Previous Surveys,POINT (-122.34473200000001 47.61583)
Critical Risk,Queen Anne,101 W Lee St,Seattle,WA,98119,1922,3,Permitted Retrofit,Schools,101+,Google Street View,POINT (-122.358546 47.631302)
Medium Risk,Queen Anne,2553 Westlake Ave N,Seattle,WA,98109,1925,1,No visible retrofit,Industrial,1-10,Google Street View,POINT (-122.344466 47.643563)
Medium Risk,Pioneer Square/Chinatown International District,115 Occidental Ave S,Seattle,WA,98104,1900,1,Visible retrofit,Commercial,11-100,Field Visit,POINT (-122.332924 47.601181)
Medium Risk,Miller Park,1619 E John St,Seattle,WA,98112,1927,5,Permitted Retrofit,Residential,11-100,Google Street View,POINT (-122.31051299999999 47.619684)
Medium Risk,Univ Dist,6300 Roosevelt Way NE,Seattle,WA,98115,1930,1,No visible retrofit,Commercial/Residential,11-100,Sandborn Insurance Maps,POINT (-122.317368 47.674293)
Medium Risk,Pioneer Square/Chinatown International District,406 2nd Av Et S,Seattle,WA,98104,0,1,Substantial Alteration,Office,1-10,Photos from Previous Surveys,POINT (-122.33159300000001 47.599085)
Medium Risk,Sunset Hill/Loyal Heights,8498 Seaview Pl NW,Seattle,WA,98117,1930,1,Permitted Retrofit,Public Assembly,11-100,Field Visit,POINT (-122.40196700000001 47.690611)
Medium Risk,North Delridge,1128 SW Spokane St,Seattle,WA,98134,1926,2,No visible retrofit,Industrial,11-100,Google Street View,POINT (-122.349461 47.571427)
Medium Risk,Univ Dist,4235 University Way NE,Seattle,WA,98105,1922,1,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.31318200000001 47.659328)
Medium Risk,Queen Anne,1821 10th Ave W,Seattle,WA,98119,1929,1,Visible retrofit,Office,11-100,Google Street View-Rosettes,POINT (-122.370389 47.635437)
Medium Risk,Cascade/Eastlake,427 9th Ave N,Seattle,WA,98109,1929,1,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.339757 47.622807)
High Risk,Capitol Hill,1518 11th Ave,Seattle,WA,98122,1915,2,No visible retrofit,Public Assembly,101+,Google Street View,POINT (-122.318134 47.614821)
Medium Risk,West Seattle Junction/Genesee Hill,4528 California Ave SW,Seattle,WA,98116,1928,2,No visible retrofit,Commercial,11-100,Field Visit,POINT (-122.386777 47.561936)
Medium Risk,Pioneer Square/Chinatown International District,500 S King St,Seattle,WA,98104,1926,1,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.32701900000002 47.598354)
Medium Risk,Cascade/Eastlake,603 Pontius Ave N,Seattle,WA,98109,1926,3,No visible retrofit,Residential,11-100,Field Visit,POINT (-122.331745 47.624433)
Medium Risk,Ballard,5100 Ballard Ave NW,Seattle,WA,98107,1905,2,No visible retrofit,Commercial/Residential,101+,Field Visit,POINT (-122.381024 47.664569)
Medium Risk,Ballard,5403 Ballard Ave NW,Seattle,WA,98107,1901,2,Permitted Retrofit,Commercial/Residential,101+,Google Street View,POINT (-122.384836 47.667674)
Medium Risk,First Hill,104 12th Ave,Seattle,WA,98122,1926,2,Permitted Retrofit,Commercial,11-100,Google Street View,POINT (-122.316782 47.601912)
Medium Risk,Capitol Hill,315 12th Ave E,Seattle,WA,98102,1928,3,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.316783 47.621672)
High Risk,Pioneer Square/Chinatown International District,318 2nd Av Et S,Seattle,WA,98104,1904,6,Permitted Retrofit,Residential,101+,Google Street View,POINT (-122.33159300000001 47.599375)
Medium Risk,Fauntleroy/Seaview,8603 Fauntleroy Way SW,Seattle,WA,98136,1940,1,No visible retrofit,Government,1-10,Field Visit,POINT (-122.392715 47.529177)
Medium Risk,Columbia City,4850 Rainier Ave S,Seattle,WA,98118,1907,3,No visible retrofit,Commercial/Residential,101+,Field Visit,POINT (-122.285477 47.558663)
Medium Risk,Cascade/Eastlake,314 Bell St,Seattle,WA,98121,1914,1,Permitted Retrofit,Commercial/Residential,11-100,Photos from Previous Surveys,POINT (-122.344178 47.615151)
Medium Risk,Ballard,1766 NW Market St,Seattle,WA,98107,1906,2,No visible retrofit,Commercial/Office,11-100,Sandborn Insurance Maps,POINT (-122.381543 47.668656)
Medium Risk,Downtown,811 5th Ave,Seattle,WA,98104,1902,5,Substantial Alteration,Public Assembly,11-100,Permit Drawing Review,POINT (-122.33080900000002 47.605487)
Medium Risk,Capitol Hill,907 E Pine St,Seattle,WA,98122,1912,2,Visible retrofit,Public Assembly,11-100,Google Street View,POINT (-122.32011199999998 47.615254)
Medium Risk,Columbia City,5710 Rainier Ave S,Seattle,WA,98118,1920,2,No visible retrofit,Commercial,11-100,Field Visit,POINT (-122.27750400000001 47.550857)
Medium Risk,Judkins Park,624 Rainier Ave S,Seattle,WA,98144,1923,2,No visible retrofit,Commercial/Office,11-100,Google Street View,POINT (-122.312601 47.597276)
Medium Risk,Georgetown,1223 S Bailey St,Seattle,WA,98108,1928,1,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.31709400000001 47.547841)
High Risk,Downtown,1507 Western Ave,Seattle,WA,98101,1910,6,No visible retrofit,Commercial/Residential,11-100,Google Street View,POINT (-122.341382 47.608653)
Medium Risk,Capitol Hill,1630 Boylston Ave,Seattle,WA,98122,1917,4,Permitted Retrofit,Residential,11-100,Field Visit,POINT (-122.32343200000001 47.616155)
High Risk,Pioneer Square/Chinatown International District,100 6th Ave S,Seattle,WA,98104,1903,5,Visible retrofit,Residential,11-100,Photos from Previous Surveys,POINT (-122.32636200000002 47.601456)
Medium Risk,Ballard,5419 Ballard Ave NW,Seattle,WA,98107,1913,1,No visible retrofit,Commercial,11-100,Photos from Previous Surveys,POINT (-122.385344 47.668)
Medium Risk,Belltown,87 Wall St,Seattle,WA,98121,1912,2,No visible retrofit,Office,11-100,Google Street View,POINT (-122.349269 47.614281)
Medium Risk,Capitol Hill,333 Summit Ave E,Seattle,WA,98102,1929,4,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.32533200000002 47.621821)
Medium Risk,Pioneer Square/Chinatown International District,312 2nd Ave S,Seattle,WA,98104,1900,3,Substantial Alteration,Other Mixed Uses,101+,Field Visit,POINT (-122.331591 47.59954)
Medium Risk,Madrona/Leschi,3309 E Union St,Seattle,WA,98122,1929,1,No visible retrofit,Commercial,1-10,Google Street View,POINT (-122.289975 47.612894)
Medium Risk,Ballard,5313 Ballard Ave NW,Seattle,WA,98107,1900,1,Substantial Alteration,Commercial,11-100,Permit Drawing Review,POINT (-122.38352300000001 47.666744)
Medium Risk,Belltown,2012 2nd Ave,Seattle,WA,98121,1924,1,Visible retrofit,Commercial,11-100,Google Street View,POINT (-122.34197200000001 47.611833)
Medium Risk,Queen Anne,123 John St,Seattle,WA,98109,1907,2,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.35451400000001 47.619763)
Medium Risk,Downtown,1423 4th Ave,Seattle,WA,98101,1909,2,Substantial Alteration,Commercial,11-100,Permit Drawing Review,POINT (-122.33626400000001 47.609798)
Medium Risk,Capitol Hill,1520 Melrose Ave,Seattle,WA,98122,1916,4,Visible retrofit,Residential,11-100,Google Street View,POINT (-122.327915 47.614661)
High Risk,Pioneer Square/Chinatown International District,219 1st Ave S,Seattle,WA,98104,1900,4,Visible retrofit,Commercial/Office,11-100,Field Visit,POINT (-122.334269 47.600217)
Medium Risk,First Hill,420 Terry Ave,Seattle,WA,98104,1925,4,Permitted Retrofit,Residential,11-100,Google Street View-Rosettes,POINT (-122.32279599999998 47.605089)
High Risk,Duwamish/SODO,542 1st Ave S,Seattle,WA,98104,1904,4,Permitted Retrofit,Commercial/Office,101+,Google Street View,POINT (-122.334156 47.596993)
Medium Risk,Univ Dist,4134 11th Ave NE,Seattle,WA,98105,1926,1,Permitted Retrofit,Residential,11-100,Permit Drawing Review,POINT (-122.316672 47.657936)
Medium Risk,Capitol Hill,1134 Broadway,Seattle,WA,98122,1927,1,No visible retrofit,Commercial,101+,Google Street View,POINT (-122.320772 47.612343)
High Risk,Capitol Hill,925 E Pike St,Seattle,WA,98122,1916,1,Substantial Alteration,Public Assembly,101+,Permit Drawing Review,POINT (-122.31974700000002 47.614085)
Medium Risk,Cedar Park/Meadowbrook,14001 Lake City Way NE,Seattle,WA,98125,1924,1,No visible retrofit,Commercial,1-10,Field Visit,POINT (-122.292342 47.730104)
Medium Risk,Ballard,5242 Shilshole Ave NW,Seattle,WA,98107,1926,1,No visible retrofit,Industrial,11-100,Field Visit,POINT (-122.383617 47.665538)
Medium Risk,Georgetown,6107 13th Ave S,Seattle,WA,98108,1940,1,No visible retrofit,Industrial,11-100,Google Street View,POINT (-122.316011 47.548483)
Medium Risk,Pioneer Square/Chinatown International District,705 S King St,Seattle,WA,98104,1910,4,Permitted Retrofit,Commercial/Residential,101+,Google Street View,POINT (-122.32331199999999 47.598364)
Medium Risk,Pioneer Square/Chinatown International District,311 1st Ave S,Seattle,WA,98104,1900,3,Visible retrofit,Commercial/Office,11-100,Field Visit,POINT (-122.334269 47.599668)
Medium Risk,Downtown,614 1st Ave,Seattle,WA,98104,1902,3,Visible retrofit,Commercial/Office,101+,Field Visit,POINT (-122.33412999999999 47.602362)
Medium Risk,Belltown,2101 3rd Ave,Seattle,WA,98121,1926,1,Permitted Retrofit,Commercial,1-10,Photos from Previous Surveys,POINT (-122.34219199999998 47.613162)
Medium Risk,Cascade/Eastlake,2218 4th Ave,Seattle,WA,98121,1924,1,Permitted Retrofit,Commercial,101+,Google Street View-Rosettes,POINT (-122.34338600000001 47.615034)
Medium Risk,Greenwood/Phinney Ridge,8500 Greenwood Ave N,Seattle,WA,98103,1928,2,No visible retrofit,Commercial/Office,11-100,Field Visit,POINT (-122.35531299999998 47.691018)
Medium Risk,First Hill,1019 Terry Ave,Seattle,WA,98104,1924,6,Permitted Retrofit,Residential,101+,Google Street View,POINT (-122.32668300000002 47.609376)
Medium Risk,Duwamish/SODO,83 S Jackson St,Seattle,WA,98104,1909,3,Substantial Alteration,Commercial/Office,101+,Permit Drawing Review,POINT (-122.335143 47.599234)
Medium Risk,Pioneer Square/Chinatown International District,516 7th Ave S,Seattle,WA,98104,1924,1,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.323758 47.597849)
Medium Risk,Pioneer Square/Chinatown International District,112 1st Ave S,Seattle,WA,98104,1906,3,Permitted Retrofit,Commercial/Office,11-100,Field Visit,POINT (-122.33410900000001 47.601262)
High Risk,Downtown,1423 1st Ave,Seattle,WA,98101,1900,2,Substantial Alteration,Public Assembly,101+,Permit Drawing Review,POINT (-122.33984900000002 47.608606)
High Risk,Duwamish/SODO,1201 1st Ave S,Seattle,WA,98134,1914,2,No visible retrofit,Public Assembly,101+,Permit Drawing Review,POINT (-122.334235 47.591768)
High Risk,Mt. Baker/North Rainier,1501 32nd Ave S,Seattle,WA,98144,1947,1,No visible retrofit,Public Assembly,101+,Sandborn Insurance Maps,POINT (-122.29142500000002 47.589448)
Medium Risk,Greenwood/Phinney Ridge,7401 Aurora Ave N,Seattle,WA,98103,1927,2,No visible retrofit,Commercial/Office,11-100,Field Visit,POINT (-122.34457299999998 47.682782)
Medium Risk,Fauntleroy/Seaview,7101 California Ave SW,Seattle,WA,98136,1926,1,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.387284 47.539736)
Medium Risk,West Seattle Junction/Genesee Hill,4508 California Ave SW,Seattle,WA,98116,1924,1,No visible retrofit,Commercial,11-100,Field Visit,POINT (-122.38677400000002 47.562484)
Medium Risk,Laurelhurst/Sand Point,6327 NE 74th St,Seattle,WA,98115,1939,1,No visible retrofit,Government,1-10,Previous Seismic Reports,POINT (-122.257887 47.683321)
Medium Risk,Downtown,120 Pike St,Seattle,WA,98101,1904,7,Substantial Alteration,Commercial,101+,Permit Drawing Review,POINT (-122.339407 47.60909)
Medium Risk,Pioneer Square/Chinatown International District,201 1st Ave S,Seattle,WA,98104,1900,3,Permitted Retrofit,Commercial/Office,11-100,Field Visit,POINT (-122.334269 47.600711)
High Risk,Cascade/Eastlake,2100 5th Ave,Seattle,WA,98121,1927,2,Substantial Alteration,Public Assembly,101+,Permit Drawing Review,POINT (-122.34064500000001 47.614622)
Critical Risk,Queen Anne,3 W Cremora St,Seattle,WA,98119,1925,1,Permitted Retrofit,Schools,11-100,Permit Drawing Review,POINT (-122.35804999999999 47.649542)
Medium Risk,South Park,8201 10th Ave S,Seattle,WA,98108,1919,1,Permitted Retrofit,Government,101+,Google Street View,POINT (-122.32024000000001 47.529579)
Medium Risk,Capitol Hill,1620 13th Ave,Seattle,WA,98122,1908,3,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.31556800000001 47.615937)
Medium Risk,Capitol Hill,1512 Summit Ave,Seattle,WA,98122,1908,5,No visible retrofit,Residential,11-100,Photos from Previous Surveys,POINT (-122.325527 47.614563)
Medium Risk,Wallingford,4701 Roosevelt Way NE,Seattle,WA,98105,1927,1,No visible retrofit,Commercial,101+,Google Street View,POINT (-122.31742 47.663304)
Medium Risk,Duwamish/SODO,2440 1st Ave S,Seattle,WA,98134,1927,1,Visible retrofit,Commercial,101+,Google Street View,POINT (-122.33421999999999 47.580647)
High Risk,Miller Park,732 18th Ave E,Seattle,WA,98112,1923,2,No visible retrofit,Public Assembly,101+,Permit Drawing Review,POINT (-122.308636 47.62605)
Medium Risk,First Hill,912 12th Ave,Seattle,WA,98122,1930,1,Substantial Alteration,Commercial,11-100,Google Street View,POINT (-122.316798 47.610891)
Medium Risk,Judkins Park,1432 S Jackson St,Seattle,WA,98144,1925,1,No visible retrofit,Industrial,1-10,Google Street View,POINT (-122.312399 47.599223)
Medium Risk,Univ Dist,4506 17th Ave NE,Seattle,WA,98105,1925,3,Visible retrofit,Residential,11-100,Google Street View,POINT (-122.309553 47.66163)
Medium Risk,Pioneer Square/Chinatown International District,657 S Weller St,Seattle,WA,98104,1909,3,Substantial Alteration,Commercial/Residential,101+,Permit Drawing Review,POINT (-122.324683 47.597529)
Medium Risk,Cascade/Eastlake,1933 5th Ave,Seattle,WA,98101,1923,3,No visible retrofit,Commercial/Office,101+,Permit Drawing Review,POINT (-122.338545 47.613322)
Medium Risk,Green Lake,5201 Green Lake Way N,Seattle,WA,98103,0,1,No visible retrofit,Government,1-10,Field Visit,POINT (-122.34009500000002 47.666409)
Critical Risk,Queen Anne,2919 1st Ave W,Seattle,WA,98119,1914,1,Permitted Retrofit,Schools,101+,Permit Drawing Review,POINT (-122.35817000000002 47.646376)
High Risk,Sunset Hill/Loyal Heights,3014 NW 67th St,Seattle,WA,98117,1907,2,No visible retrofit,Public Assembly,101+,Google Street View,POINT (-122.39697 47.677319)
Medium Risk,Capitol Hill,300 E Pike St,Seattle,WA,98122,1910,2,No visible retrofit,Commercial/Office,101+,Google Street View,POINT (-122.327481 47.614074)
Medium Risk,Fremont,3600 Wallingford Ave N,Seattle,WA,98103,1928,1,Visible retrofit,Office,11-100,Google Street View,POINT (-122.336323 47.650683)
Medium Risk,West Seattle Junction/Genesee Hill,4427 California Ave SW,Seattle,WA,98116,1920,1,No visible retrofit,Industrial,1-10,Photos from Previous Surveys,POINT (-122.38678600000001 47.563946)
Medium Risk,Univ Dist,4325 University Way NE,Seattle,WA,98105,1924,1,No visible retrofit,Commercial,11-100,Photos from Previous Surveys,POINT (-122.31315100000002 47.660588)
Medium Risk,Wallingford,2104 N 45th St,Seattle,WA,98103,1929,1,Substantial Alteration,Commercial,11-100,Google Street View,POINT (-122.33337300000001 47.661383)
Critical Risk,Madrona/Leschi,924 35th Ave,Seattle,WA,98122,1900,1,Permitted Retrofit,Schools,101+,Google Street View,POINT (-122.28824699999998 47.611012)
Medium Risk,Queen Anne,916 Queen Anne Ave N,Seattle,WA,98109,1909,5,Substantial Alteration,Residential,11-100,Permit Drawing Review,POINT (-122.356725 47.627843)
Medium Risk,Columbia City,5600 Rainier Ave S,Seattle,WA,98118,1926,1,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.277968 47.5517)
Medium Risk,Ballard,5144 Ballard Ave NW,Seattle,WA,98107,1911,2,No visible retrofit,Commercial/Residential,11-100,Field Visit,POINT (-122.38207000000001 47.665463)
Medium Risk,Wallingford,1307 N 46th St,Seattle,WA,98103,1924,1,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.34194500000001 47.662116)
High Risk,Capitol Hill,807 E Roy St,Seattle,WA,98102,1925,3,Substantial Alteration,Public Assembly,101+,Photos from Previous Surveys,POINT (-122.321668 47.62511400000001)
Medium Risk,Roxhill/Westwood,9643 20th Ave SW,Seattle,WA,98106,1949,2,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.35919300000002 47.516776)
Medium Risk,Columbia City,3808 S Edmunds St,Seattle,WA,98118,1925,1,Substantial Alteration,Commercial,11-100,Permit Drawing Review,POINT (-122.284996 47.558664)
High Risk,Ballard,2000 NW Market St,Seattle,WA,98107,1924,2,No visible retrofit,Public Assembly,101+,Field Visit,POINT (-122.38271400000002 47.668692)
Critical Risk,Whittier Heights,6510 23rd Ave NW,Seattle,WA,98117,1929,3,Permitted Retrofit,Schools,101+,Google Street View,POINT (-122.385355 47.676421)
Medium Risk,Cascade/Eastlake,2200 4th Ave,Seattle,WA,98121,1923,1,Visible retrofit,Other Mixed Uses,11-100,Google Street View-Rosettes,POINT (-122.342841 47.614706)
Medium Risk,Capitol Hill,405 E Olive St,Seattle,WA,98122,1923,4,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.326442 47.616356)
Critical Risk,First Hill,916 Broadway,Seattle,WA,98102,1894,4,Permitted Retrofit,Schools,101+,Field Visit,POINT (-122.32076900000001 47.610642)
Medium Risk,Belltown,2137 2nd Ave,Seattle,WA,98121,1927,2,No visible retrofit,Commercial/Office,11-100,Permit Drawing Review,POINT (-122.343572 47.612759)
Medium Risk,Pioneer Square/Chinatown International District,621 S King St,Seattle,WA,98104,1910,6,Permitted Retrofit,Commercial/Residential,101+,Google Street View,POINT (-122.325436 47.598369)
Medium Risk,Fremont,3400 Phinney Ave N,Seattle,WA,98103,1905,1,Permitted Retrofit,Commercial,101+,Google Street View,POINT (-122.354481 47.650847)
Medium Risk,Olympic Hills/Victory Heights,2611 NE 125th St,Seattle,WA,98125,1931,2,No visible retrofit,Office,101+,Google Street View,POINT (-122.29936700000002 47.719305000000006)
Medium Risk,Downtown,616 1st Ave,Seattle,WA,98104,1902,7,Substantial Alteration,Commercial/Office,101+,Field Visit,POINT (-122.33412999999999 47.602362)
Medium Risk,West Seattle Junction/Genesee Hill,4210 SW Edmunds St,Seattle,WA,98116,1910,1,No visible retrofit,Commercial,11-100,Field Visit,POINT (-122.38628 47.559327)
Medium Risk,Duwamish/SODO,1728 4th Ave S,Seattle,WA,98134,1946,1,Substantial Alteration,Commercial,11-100,Permit Drawing Review,POINT (-122.32905600000001 47.587916)
Medium Risk,Ravenna/Bryant,2818 NE 55th St,Seattle,WA,98105,1924,1,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.296388 47.668526)
High Risk,Pioneer Square/Chinatown International District,316 1st Ave S,Seattle,WA,98104,1905,7,Visible retrofit,Other Mixed Uses,101+,Field Visit,POINT (-122.33413599999999 47.599454)
Medium Risk,Belltown,2205 2nd Ave,Seattle,WA,98121,1923,6,No visible retrofit,Commercial/Residential,101+,Google Street View,POINT (-122.34459000000001 47.613387)
Medium Risk,Cascade/Eastlake,2212 4th Ave,Seattle,WA,98121,1924,1,No visible retrofit,Office,11-100,Photos from Previous Surveys,POINT (-122.343205 47.614925)
Medium Risk,Downtown,1516 2nd Ave,Seattle,WA,98101,1906,4,Visible retrofit,Commercial/Office,101+,Google Street View,POINT (-122.339367 47.609777)
High Risk,Capitol Hill,1515 Melrose Ave,Seattle,WA,98122,1919,1,Substantial Alteration,Public Assembly,101+,Field Visit,POINT (-122.327915 47.614554)
Medium Risk,Pioneer Square/Chinatown International District,116 S Washington St,Seattle,WA,98104,1900,2,Visible retrofit,Commercial/Office,11-100,Google Street View,POINT (-122.33345199999998 47.60089700000001)
Critical Risk,Univ Dist,4045 University Way NE,Seattle,WA,98105,1931,1,Substantial Alteration,Schools,101+,University of Washington Facilities List,POINT (-122.31325900000002 47.656535)
Critical Risk,Univ Dist,4324 Memorial Way NE,Seattle,WA,98195,1894,1,No visible retrofit,Schools,11-100,University of Washington Facilities List,POINT (-122.30956600000002 47.659936)
Medium Risk,Duwamish/SODO,590 1st Ave S,Seattle,WA,98104,1903,2,Substantial Alteration,Commercial/Residential,101+,Permit Drawing Review,POINT (-122.33414700000002 47.59599)
Critical Risk,Belltown,2501 Elliott Ave,Seattle,WA,98121,1910,4,Substantial Alteration,Schools,101+,Permit Drawing Review,POINT (-122.35070400000001 47.6135)
Medium Risk,Capitol Hill,1514 10th Ave,Seattle,WA,98122,1912,2,No visible retrofit,Commercial/Office,101+,Photos from Previous Surveys,POINT (-122.31945600000002 47.614253)
Medium Risk,Cascade/Eastlake,2315 4th Ave,Seattle,WA,98121,1923,1,No visible retrofit,Commercial,101+,Field Visit,POINT (-122.34450000000001 47.615695)
Medium Risk,Queen Anne,721 9th Ave N,Seattle,WA,98109,1922,1,Visible retrofit,Commercial,101+,Google Street View,POINT (-122.339746 47.626076)
Medium Risk,Beacon Hill,5900 Airport Way S,Seattle,WA,98108,1901,3,Substantial Alteration,Commercial/Office,11-100,Google Street View,POINT (-122.31773600000001 47.550082)
Medium Risk,Fauntleroy/Seaview,6501 California Ave SW,Seattle,WA,98136,1920,1,No visible retrofit,Commercial,11-100,Permit Drawing Review,POINT (-122.387248 47.544397)
Medium Risk,Mt. Baker/North Rainier,1400 31st Ave S,Seattle,WA,98144,1931,1,No visible retrofit,Commercial,11-100,Field Visit,POINT (-122.29242900000001 47.590204)
Medium Risk,Capitol Hill,913 E Pike St,Seattle,WA,98122,1912,3,No visible retrofit,Commercial/Office,101+,Photos from Previous Surveys,POINT (-122.319902 47.614084)
Medium Risk,Duwamish/SODO,3100 Airport Way S,Seattle,WA,98134,1890,3,No visible retrofit,Industrial,1-10,Field Visit,POINT (-122.321437 47.575484)
Medium Risk,Greenwood/Phinney Ridge,7411 Aurora Ave N,Seattle,WA,98103,1923,1,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.34456899999999 47.683168)
Medium Risk,Pioneer Square/Chinatown International District,507 12th Ave S,Seattle,WA,98144,1931,1,No visible retrofit,Industrial,1-10,Google Street View,POINT (-122.31722 47.597988)
Medium Risk,Highland Park,1100 SW Cloverdale St,Seattle,WA,98106,1938,1,No visible retrofit,Government,1-10,Permit Drawing Review,POINT (-122.349291 47.526515)
Medium Risk,Univ Dist,4733 University Way NE,Seattle,WA,98105,1909,1,Substantial Alteration,Commercial,11-100,Permit Drawing Review,POINT (-122.313089 47.664105)
High Risk,Duwamish/SODO,97 S Jackson St,Seattle,WA,98104,1905,5,Permitted Retrofit,Other Mixed Uses,101+,Google Street View,POINT (-122.334603 47.599222)
Medium Risk,Green Lake,7301 Roosevelt Way NE,Seattle,WA,98115,1931,1,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.317484 47.681774)
Medium Risk,Duwamish/SODO,3100 Airport Way S,Seattle,WA,98134,1920,1,No visible retrofit,Office,11-100,Field Visit,POINT (-122.321437 47.575484)
Medium Risk,Green Lake,7203 Woodlawn Ave NE,Seattle,WA,98115,1921,1,No visible retrofit,Commercial,11-100,White Card Permit Records,POINT (-122.32481099999998 47.680692)
Medium Risk,Duwamish/SODO,820 1st Ave S,Seattle,WA,98134,1920,2,No visible retrofit,Commercial/Office,11-100,Google Street View,POINT (-122.334159 47.595066)
Medium Risk,Sunset Hill/Loyal Heights,2406 NW 54th St,Seattle,WA,98107,1930,1,No visible retrofit,Office,11-100,Google Street View,POINT (-122.38809200000001 47.66800800000001)
Medium Risk,First Hill,1016 Madison St,Seattle,WA,98104,1929,1,No visible retrofit,Commercial,101+,Field Visit,POINT (-122.325662 47.609144)
High Risk,Greenwood/Phinney Ridge,121 N 80th St,Seattle,WA,98103,1931,1,Substantial Alteration,Public Assembly,101+,Permit Drawing Review,POINT (-122.35648900000001 47.686952)
Critical Risk,Univ Dist,4216 Memorial Way NE,Seattle,WA,98195,1895,3,Substantial Alteration,Schools,101+,Permit Drawing Review,POINT (-122.30968900000002 47.658199)
Medium Risk,Queen Anne,621 W Galer St,Seattle,WA,98119,1917,4,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.36534300000001 47.632331)
Medium Risk,Duwamish/SODO,4786 1st Ave S,Seattle,WA,98134,1937,1,No visible retrofit,Industrial,11-100,Google Street View,POINT (-122.334201 47.558912)
Medium Risk,Capitol Hill,1414 E Denny Way,Seattle,WA,98122,1915,4,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.313747 47.618789)
Medium Risk,Laurelhurst/Sand Point,7561 63rd Ave NE,Seattle,WA,98115,1929,2,Visible retrofit,Government,11-100,Department of Neighborhoods,POINT (-122.26165099999999 47.684573)
Medium Risk,Belltown,2101 1st Ave,Seattle,WA,98121,1901,5,Visible retrofit,Commercial/Residential,101+,Google Street View,POINT (-122.34421200000001 47.61198900000001)
Medium Risk,Georgetown,5245 East Marginal Way S,Seattle,WA,98134,1919,1,No visible retrofit,Industrial,11-100,Permit Drawing Review,POINT (-122.337998 47.555461)
Medium Risk,Pioneer Square/Chinatown International District,1005 S King St,Seattle,WA,98104,1914,1,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.319308 47.598353)
Medium Risk,Columbia City,4868 Rainier Ave S,Seattle,WA,98118,1908,1,Permitted Retrofit,Commercial,11-100,Field Visit,POINT (-122.285135 47.557989)
Medium Risk,Wallingford,4411 Wallingford Ave N,Seattle,WA,98103,1938,1,No visible retrofit,Commercial,11-100,Permit Drawing Review,POINT (-122.33617400000001 47.660667)
Medium Risk,Green Lake,7200 Woodlawn Ave NE,Seattle,WA,98115,1912,2,No visible retrofit,Commercial/Residential,11-100,Google Street View,POINT (-122.324764 47.680617000000005)
High Risk,Ravenna/Bryant,6215 33rd Ave NE,Seattle,WA,98115,1930,2,No visible retrofit,Public Assembly,101+,Field Visit,POINT (-122.29223000000002 47.67501)
Medium Risk,Wallingford,1920 N 45th St,Seattle,WA,98103,1927,1,No visible retrofit,Commercial,101+,Photos from Previous Surveys,POINT (-122.33413599999999 47.661381000000006)
