GEOID,variable,value,moe,geometry,total,total_moe,Year,short_label,SE,CoV,censored_est
53033000401,low_burden,0.003449849285141451,0.0020533171095700985,"list(c(-122.36084, -122.36094, -122.36094, -122.36094, -122.358339, -122.355639, -122.355539, -122.351739, -122.350639, -122.348139, -122.345039, -122.345139, -122.345139, -122.345208, -122.345239, -122.351739, -122.35574, -122.35904, -122.36084, 47.733919, 47.730419, 47.728619, 47.724919, 47.724919, 47.724919, 47.722819, 47.722919, 47.722919, 47.722919, 47.723319, 47.726819, 47.728619, 47.732319, 47.734119, 47.734019, 47.734019, 47.734019, 47.733919))",289288,236319,2009,Population,0.0012483281648444685,0.3618500582680627,0.003449849285141451
53033000401,severely_burdened,0.0013654213102513757,5.703658637628586e-4,"list(c(-122.36084, -122.36094, -122.36094, -122.36094, -122.358339, -122.355639, -122.355539, -122.351739, -122.350639, -122.348139, -122.345039, -122.345139, -122.345139, -122.345208, -122.345239, -122.351739, -122.35574, -122.35904, -122.36084, 47.733919, 47.730419, 47.728619, 47.724919, 47.724919, 47.724919, 47.722819, 47.722919, 47.722919, 47.722919, 47.723319, 47.726819, 47.728619, 47.732319, 47.734119, 47.734019, 47.734019, 47.734019, 47.733919))",289288,236319,2009,Population,3.467578235638874e-4,0.25395665129911354,0.0013654213102513757
53033000402,highly_burdened,4.8049003069605375e-4,6.291308315573987e-4,"list(c(-122.36094, -122.36114, -122.36114, -122.360939, -122.360839, -122.360839, -122.358039, -122.356739, -122.355339, -122.350239, -122.350139, -122.350139, -122.349939, -122.347339, -122.344639, -122.344639, -122.344739, -122.344739, -122.344739, -122.345039, -122.345039, -122.345039, -122.348139, -122.350639, -122.351739, -122.355539, -122.355639, -122.358339, -122.36094, 47.724919, 47.723219, 47.721319, 47.717919, 47.716019, 47.712419, 47.712419, 47.712419, 47.712419, 47.712519, 47.70882, 47.70812, 
47.70652, 47.70662, 47.70662, 47.70702, 47.70822, 47.71252, 47.71342, 47.719719, 47.722519, 47.723319, 47.722919, 47.722919, 47.722919, 47.722819, 47.724919, 47.724919, 47.724919))",289288,236319,2009,Population,3.8248438721165314e-4,0.7960298086883792,4.8049003069605375e-4
53033000402,low_burden,0.002077514449268549,0.0016281352838587928,"list(c(-122.36094, -122.36114, -122.36114, -122.360939, -122.360839, -122.360839, -122.358039, -122.356739, -122.355339, -122.350239, -122.350139, -122.350139, -122.349939, -122.347339, -122.344639, -122.344639, -122.344739, -122.344739, -122.344739, -122.345039, -122.345039, -122.345039, -122.348139, -122.350639, -122.351739, -122.355539, -122.355639, -122.358339, -122.36094, 47.724919, 47.723219, 47.721319, 47.717919, 47.716019, 47.712419, 47.712419, 47.712419, 47.712419, 47.712519, 47.70882, 47.70812, 
47.70652, 47.70662, 47.70662, 47.70702, 47.70822, 47.71252, 47.71342, 47.719719, 47.722519, 47.723319, 47.722919, 47.722919, 47.722919, 47.722819, 47.724919, 47.724919, 47.724919))",289288,236319,2009,Population,9.89835969098561e-4,0.4764520263370791,0.002077514449268549
53033000402,severely_burdened,0.0017283814053814883,5.1160089596964e-4,"list(c(-122.36094, -122.36114, -122.36114, -122.360939, -122.360839, -122.360839, -122.358039, -122.356739, -122.355339, -122.350239, -122.350139, -122.350139, -122.349939, -122.347339, -122.344639, -122.344639, -122.344739, -122.344739, -122.344739, -122.345039, -122.345039, -122.345039, -122.348139, -122.350639, -122.351739, -122.355539, -122.355639, -122.358339, -122.36094, 47.724919, 47.723219, 47.721319, 47.717919, 47.716019, 47.712419, 47.712419, 47.712419, 47.712419, 47.712519, 47.70882, 47.70812, 
47.70652, 47.70662, 47.70662, 47.70702, 47.70822, 47.71252, 47.71342, 47.719719, 47.722519, 47.723319, 47.722919, 47.722919, 47.722919, 47.722819, 47.724919, 47.724919, 47.724919))",289288,236319,2009,Population,3.110312599169251e-4,0.17995522223769486,0.0017283814053814883
53033000500,highly_burdened,0,0.0012340643234423827,"list(c(-122.37314, -122.374255895954, -122.375640722677, -122.375685451675, -122.37644, -122.377462801303, -122.378790995234, -122.37014, -122.36784, -122.36634, -122.363339, -122.360639, -122.360839, -122.360839, -122.360939, -122.36114, -122.36114, -122.36094, -122.36094, -122.36094, -122.36084, -122.36174, -122.37494, -122.375379851173, -122.37314, 47.729219, 47.7249244913295, 47.7195950066685, 47.7194228677943, 47.716519, 47.7146268175896, 47.7121696588169, 47.711219, 47.711919, 47.711219, 47.708919, 
47.708819, 47.712419, 47.716019, 47.717919, 47.721319, 47.723219, 47.724919, 47.728619, 47.730419, 47.733919, 47.734019, 47.733919, 47.7339104049412, 47.729219))",289288,236319,2009,Population,7.50257836455372e-4,Inf,NA
53033000500,low_burden,4.839467935068167e-5,0.001718011116949194,"list(c(-122.37314, -122.374255895954, -122.375640722677, -122.375685451675, -122.37644, -122.377462801303, -122.378790995234, -122.37014, -122.36784, -122.36634, -122.363339, -122.360639, -122.360839, -122.360839, -122.360939, -122.36114, -122.36114, -122.36094, -122.36094, -122.36094, -122.36084, -122.36174, -122.37494, -122.375379851173, -122.37314, 47.729219, 47.7249244913295, 47.7195950066685, 47.7194228677943, 47.716519, 47.7146268175896, 47.7121696588169, 47.711219, 47.711919, 47.711219, 47.708919, 
47.708819, 47.712419, 47.716019, 47.717919, 47.721319, 47.723219, 47.724919, 47.728619, 47.730419, 47.733919, 47.734019, 47.733919, 47.7339104049412, 47.729219))",289288,236319,2009,Population,0.0010444765958496323,21.582467532867746,NA
53033000500,severely_burdened,3.802439091839274e-5,6.222173059364094e-5,"list(c(-122.37314, -122.374255895954, -122.375640722677, -122.375685451675, -122.37644, -122.377462801303, -122.378790995234, -122.37014, -122.36784, -122.36634, -122.363339, -122.360639, -122.360839, -122.360839, -122.360939, -122.36114, -122.36114, -122.36094, -122.36094, -122.36094, -122.36084, -122.36174, -122.37494, -122.375379851173, -122.37314, 47.729219, 47.7249244913295, 47.7195950066685, 47.7194228677943, 47.716519, 47.7146268175896, 47.7121696588169, 47.711219, 47.711919, 47.711219, 47.708919, 
47.708819, 47.712419, 47.716019, 47.717919, 47.721319, 47.723219, 47.724919, 47.728619, 47.730419, 47.733919, 47.734019, 47.733919, 47.7339104049412, 47.729219))",289288,236319,2009,Population,3.7828126207777564e-5,0.9948384522177778,3.802439091839274e-5
53033000600,highly_burdened,0.0010681397085257598,8.607339398746964e-4,"list(c(-122.345139, -122.345039, -122.345039, -122.345039, -122.344739, -122.344739, -122.344739, -122.344639, -122.341939, -122.339339, -122.333738, -122.333838, -122.331138, -122.329087, -122.328538, -122.327438, -122.327038, -122.326722, -122.323238, -122.320538, -122.317738, -122.312338, -122.312505, -122.312599, -122.312575, -122.312438, -122.317938, -122.320738, -122.323438, -122.323438, -122.323438, -122.324238, -122.324607, -122.328839, -122.330239, -122.331539, -122.334139, -122.339639, 
-122.340939, -122.345139, -122.345139, 47.726819, 47.723319, 47.722519, 47.719719, 47.71342, 47.71252, 47.70822, 47.70702, 47.70692, 47.70702, 47.70702, 47.71242, 47.71242, 47.712408, 47.71242, 47.71402, 47.71242, 47.712423, 47.71232, 47.71232, 47.71232, 47.71222, 47.714006, 47.715844, 47.717646, 47.71952, 47.71962, 47.71962, 47.71962, 47.72192, 47.72312, 47.72352, 47.723772, 47.72612, 47.72682, 47.72742, 47.728619, 47.728619, 47.728719, 47.728619, 47.726819))",289288,236319,2009,Population,5.232890792051558e-4,0.48990696163463143,0.0010681397085257598
53033000600,low_burden,0.0018701086806227705,0.0014656674317539884,"list(c(-122.345139, -122.345039, -122.345039, -122.345039, -122.344739, -122.344739, -122.344739, -122.344639, -122.341939, -122.339339, -122.333738, -122.333838, -122.331138, -122.329087, -122.328538, -122.327438, -122.327038, -122.326722, -122.323238, -122.320538, -122.317738, -122.312338, -122.312505, -122.312599, -122.312575, -122.312438, -122.317938, -122.320738, -122.323438, -122.323438, -122.323438, -122.324238, -122.324607, -122.328839, -122.330239, -122.331539, -122.334139, -122.339639, 
-122.340939, -122.345139, -122.345139, 47.726819, 47.723319, 47.722519, 47.719719, 47.71342, 47.71252, 47.70822, 47.70702, 47.70692, 47.70702, 47.70702, 47.71242, 47.71242, 47.712408, 47.71242, 47.71402, 47.71242, 47.712423, 47.71232, 47.71232, 47.71232, 47.71222, 47.714006, 47.715844, 47.717646, 47.71952, 47.71962, 47.71962, 47.71962, 47.72192, 47.72312, 47.72352, 47.723772, 47.72612, 47.72682, 47.72742, 47.728619, 47.728619, 47.728719, 47.728619, 47.726819))",289288,236319,2009,Population,8.910625284454142e-4,0.47647633406454154,0.0018701086806227705
