GEOID,variable,value,moe,geometry,Year,short_label,SE,CoV,censored_est
53033000401,low_burden,998,594,"list(c(-122.36084, -122.36094, -122.36094, -122.36094, -122.358339, -122.355639, -122.355539, -122.351739, -122.350639, -122.348139, -122.345039, -122.345139, -122.345139, -122.345208, -122.345239, -122.351739, -122.35574, -122.35904, -122.36084, 47.733919, 47.730419, 47.728619, 47.724919, 47.724919, 47.724919, 47.722819, 47.722919, 47.722919, 47.722919, 47.723319, 47.726819, 47.728619, 47.732319, 47.734119, 47.734019, 47.734019, 47.734019, 47.733919))",2009,Population,361.126358155591,0.3618500582721353,998
53033000401,severely_burdened,395,165,"list(c(-122.36084, -122.36094, -122.36094, -122.36094, -122.358339, -122.355639, -122.355539, -122.351739, -122.350639, -122.348139, -122.345039, -122.345139, -122.345139, -122.345208, -122.345239, -122.351739, -122.35574, -122.35904, -122.36084, 47.733919, 47.730419, 47.728619, 47.724919, 47.724919, 47.724919, 47.722819, 47.722919, 47.722919, 47.722919, 47.723319, 47.726819, 47.728619, 47.732319, 47.734119, 47.734019, 47.734019, 47.734019, 47.733919))",2009,Population,100.31287726544195,0.25395665130491635,395
53033000402,highly_burdened,139,182,"list(c(-122.36094, -122.36114, -122.36114, -122.360939, -122.360839, -122.360839, -122.358039, -122.356739, -122.355339, -122.350239, -122.350139, -122.350139, -122.349939, -122.347339, -122.344639, -122.344639, -122.344739, -122.344739, -122.344739, -122.345039, -122.345039, -122.345039, -122.348139, -122.350639, -122.351739, -122.355539, -122.355639, -122.358339, -122.36094, 47.724919, 47.723219, 47.721319, 47.717919, 47.716019, 47.712419, 47.712419, 47.712419, 47.712419, 47.712519, 47.70882, 47.70812, 
47.70652, 47.70662, 47.70662, 47.70702, 47.70822, 47.71252, 47.71342, 47.719719, 47.722519, 47.723319, 47.722919, 47.722919, 47.722919, 47.722819, 47.724919, 47.724919, 47.724919))",2009,Population,110.64814340794203,0.7960298086902304,139
53033000402,low_burden,601,471,"list(c(-122.36094, -122.36114, -122.36114, -122.360939, -122.360839, -122.360839, -122.358039, -122.356739, -122.355339, -122.350239, -122.350139, -122.350139, -122.349939, -122.347339, -122.344639, -122.344639, -122.344739, -122.344739, -122.344739, -122.345039, -122.345039, -122.345039, -122.348139, -122.350639, -122.351739, -122.355539, -122.355639, -122.358339, -122.36094, 47.724919, 47.723219, 47.721319, 47.717919, 47.716019, 47.712419, 47.712419, 47.712419, 47.712419, 47.712519, 47.70882, 47.70812, 
47.70652, 47.70662, 47.70662, 47.70702, 47.70822, 47.71252, 47.71342, 47.719719, 47.722519, 47.723319, 47.722919, 47.722919, 47.722919, 47.722819, 47.724919, 47.724919, 47.724919))",2009,Population,286.34766783044336,0.476452026340172,601
53033000402,severely_burdened,500,148,"list(c(-122.36094, -122.36114, -122.36114, -122.360939, -122.360839, -122.360839, -122.358039, -122.356739, -122.355339, -122.350239, -122.350139, -122.350139, -122.349939, -122.347339, -122.344639, -122.344639, -122.344739, -122.344739, -122.344739, -122.345039, -122.345039, -122.345039, -122.348139, -122.350639, -122.351739, -122.355539, -122.355639, -122.358339, -122.36094, 47.724919, 47.723219, 47.721319, 47.717919, 47.716019, 47.712419, 47.712419, 47.712419, 47.712419, 47.712519, 47.70882, 47.70812, 
47.70652, 47.70662, 47.70662, 47.70702, 47.70822, 47.71252, 47.71342, 47.719719, 47.722519, 47.723319, 47.722919, 47.722919, 47.722919, 47.722819, 47.724919, 47.724919, 47.724919))",2009,Population,89.97761112294187,0.17995522224588373,500
53033000500,highly_burdened,0,357,"list(c(-122.37314, -122.374255895954, -122.375640722677, -122.375685451675, -122.37644, -122.377462801303, -122.378790995234, -122.37014, -122.36784, -122.36634, -122.363339, -122.360639, -122.360839, -122.360839, -122.360939, -122.36114, -122.36114, -122.36094, -122.36094, -122.36094, -122.36084, -122.36174, -122.37494, -122.375379851173, -122.37314, 47.729219, 47.7249244913295, 47.7195950066685, 47.7194228677943, 47.716519, 47.7146268175896, 47.7121696588169, 47.711219, 47.711919, 47.711219, 47.708919, 
47.708819, 47.712419, 47.716019, 47.717919, 47.721319, 47.723219, 47.724919, 47.728619, 47.730419, 47.733919, 47.734019, 47.733919, 47.7339104049412, 47.729219))",2009,Population,217.04058899250168,Inf,NA
53033000500,low_burden,14,497,"list(c(-122.37314, -122.374255895954, -122.375640722677, -122.375685451675, -122.37644, -122.377462801303, -122.378790995234, -122.37014, -122.36784, -122.36634, -122.363339, -122.360639, -122.360839, -122.360839, -122.360939, -122.36114, -122.36114, -122.36094, -122.36094, -122.36094, -122.36084, -122.36174, -122.37494, -122.375379851173, -122.37314, 47.729219, 47.7249244913295, 47.7195950066685, 47.7194228677943, 47.716519, 47.7146268175896, 47.7121696588169, 47.711219, 47.711919, 47.711219, 47.708919, 
47.708819, 47.712419, 47.716019, 47.717919, 47.721319, 47.723219, 47.724919, 47.728619, 47.730419, 47.733919, 47.734019, 47.733919, 47.7339104049412, 47.729219))",2009,Population,302.1545454601494,21.582467532867813,NA
53033000500,severely_burdened,11,18,"list(c(-122.37314, -122.374255895954, -122.375640722677, -122.375685451675, -122.37644, -122.377462801303, -122.378790995234, -122.37014, -122.36784, -122.36634, -122.363339, -122.360639, -122.360839, -122.360839, -122.360939, -122.36114, -122.36114, -122.36094, -122.36094, -122.36094, -122.36084, -122.36174, -122.37494, -122.375379851173, -122.37314, 47.729219, 47.7249244913295, 47.7195950066685, 47.7194228677943, 47.716519, 47.7146268175896, 47.7121696588169, 47.711219, 47.711919, 47.711219, 47.708919, 
47.708819, 47.712419, 47.716019, 47.717919, 47.721319, 47.723219, 47.724919, 47.728619, 47.730419, 47.733919, 47.734019, 47.733919, 47.7339104049412, 47.729219))",2009,Population,10.94322297441185,0.994838452219259,11
53033000600,highly_burdened,309,249,"list(c(-122.345139, -122.345039, -122.345039, -122.345039, -122.344739, -122.344739, -122.344739, -122.344639, -122.341939, -122.339339, -122.333738, -122.333838, -122.331138, -122.329087, -122.328538, -122.327438, -122.327038, -122.326722, -122.323238, -122.320538, -122.317738, -122.312338, -122.312505, -122.312599, -122.312575, -122.312438, -122.317938, -122.320738, -122.323438, -122.323438, -122.323438, -122.324238, -122.324607, -122.328839, -122.330239, -122.331539, -122.334139, -122.339639, 
-122.340939, -122.345139, -122.345139, 47.726819, 47.723319, 47.722519, 47.719719, 47.71342, 47.71252, 47.70822, 47.70702, 47.70692, 47.70702, 47.70702, 47.71242, 47.71242, 47.712408, 47.71242, 47.71402, 47.71242, 47.712423, 47.71232, 47.71232, 47.71232, 47.71222, 47.714006, 47.715844, 47.717646, 47.71952, 47.71962, 47.71962, 47.71962, 47.72192, 47.72312, 47.72352, 47.723772, 47.72612, 47.72682, 47.72742, 47.728619, 47.728619, 47.728719, 47.728619, 47.726819))",2009,Population,151.38125114603056,0.48990696163763936,309
53033000600,low_burden,541,424,"list(c(-122.345139, -122.345039, -122.345039, -122.345039, -122.344739, -122.344739, -122.344739, -122.344639, -122.341939, -122.339339, -122.333738, -122.333838, -122.331138, -122.329087, -122.328538, -122.327438, -122.327038, -122.326722, -122.323238, -122.320538, -122.317738, -122.312338, -122.312505, -122.312599, -122.312575, -122.312438, -122.317938, -122.320738, -122.323438, -122.323438, -122.323438, -122.324238, -122.324607, -122.328839, -122.330239, -122.331539, -122.334139, -122.339639, 
-122.340939, -122.345139, -122.345139, 47.726819, 47.723319, 47.722519, 47.719719, 47.71342, 47.71252, 47.70822, 47.70702, 47.70692, 47.70702, 47.70702, 47.71242, 47.71242, 47.712408, 47.71242, 47.71402, 47.71242, 47.712423, 47.71232, 47.71232, 47.71232, 47.71222, 47.714006, 47.715844, 47.717646, 47.71952, 47.71962, 47.71962, 47.71962, 47.72192, 47.72312, 47.72352, 47.723772, 47.72612, 47.72682, 47.72742, 47.728619, 47.728619, 47.728719, 47.728619, 47.726819))",2009,Population,257.77369673059025,0.47647633406763445,541
