GEOID,geometry,NAME,variable,value,moe,Year,SE,CoV,short_label,tract_total
53033001000,"list(list(c(-122.300137, -122.301537, -122.301437, -122.302037, -122.301009, -122.299737, -122.290537, -122.290537, -122.290637, -122.290537, -122.290437, -122.291937, -122.292537, -122.299237, -122.300137, 47.71032, 47.70672, 47.70402, 47.70102, 47.701078, 47.70112, 47.70102, 47.70472, 47.70832, 47.71012, 47.71202, 47.71192, 47.71192, 47.71202, 47.71032)))","Census Tract 10, King County, Washington",B25033_002,0.6723973256924546,NA,2009,NA,NA,Owner occupied,2094
53033001000,"list(list(c(-122.300137, -122.301537, -122.301437, -122.302037, -122.301009, -122.299737, -122.290537, -122.290537, -122.290637, -122.290537, -122.290437, -122.291937, -122.292537, -122.299237, -122.300137, 47.71032, 47.70672, 47.70402, 47.70102, 47.701078, 47.70112, 47.70102, 47.70472, 47.70832, 47.71012, 47.71202, 47.71192, 47.71192, 47.71202, 47.71032)))","Census Tract 10, King County, Washington",B25033_008,0.32760267430754536,NA,2009,NA,NA,Renter occupied,2094
53033001100,"list(list(c(-122.312138, -122.312138, -122.312038, -122.311938, -122.309438, -122.309438, -122.302937, -122.302037, -122.301437, -122.301537, -122.300137, -122.299237, -122.301637, -122.306138, -122.306938, -122.312338, -122.312138, 47.70842, 47.70672, 47.70392, 47.70122, 47.70122, 47.70032, 47.70022, 47.70102, 47.70402, 47.70672, 47.71032, 47.71202, 47.71202, 47.71222, 47.71222, 47.71222, 47.70842)))","Census Tract 11, King County, Washington",B25033_002,0.6541471048513302,NA,2009,NA,NA,Owner occupied,2556
53033001100,"list(list(c(-122.312138, -122.312138, -122.312038, -122.311938, -122.309438, -122.309438, -122.302937, -122.302037, -122.301437, -122.301537, -122.300137, -122.299237, -122.301637, -122.306138, -122.306938, -122.312338, -122.312138, 47.70842, 47.70672, 47.70392, 47.70122, 47.70122, 47.70032, 47.70022, 47.70102, 47.70402, 47.70672, 47.71032, 47.71202, 47.71202, 47.71222, 47.71222, 47.71222, 47.70842)))","Census Tract 11, King County, Washington",B25033_008,0.3458528951486698,NA,2009,NA,NA,Renter occupied,2556
53033001200,"list(list(c(-122.333738, -122.333738, -122.331838, -122.330538, -122.329538, -122.328338, -122.328338, -122.322938, -122.322938, -122.320138, -122.317438, -122.311938, -122.312038, -122.312138, -122.312138, -122.312338, -122.317738, -122.320538, -122.323238, -122.326722, -122.327038, -122.327438, -122.328538, -122.329087, -122.331138, -122.333838, -122.333738, 47.70702, 47.70322, 47.70322, 47.701445, 47.70142, 47.70142, 47.70312, 47.70312, 47.70132, 47.70132, 47.70122, 47.70122, 47.70392, 47.70672, 
47.70842, 47.71222, 47.71232, 47.71232, 47.71232, 47.712423, 47.71242, 47.71402, 47.71242, 47.712408, 47.71242, 47.71242, 47.70702)))","Census Tract 12, King County, Washington",B25033_002,0.3058963871847307,NA,2009,NA,NA,Owner occupied,5868
53033001200,"list(list(c(-122.333738, -122.333738, -122.331838, -122.330538, -122.329538, -122.328338, -122.328338, -122.322938, -122.322938, -122.320138, -122.317438, -122.311938, -122.312038, -122.312138, -122.312138, -122.312338, -122.317738, -122.320538, -122.323238, -122.326722, -122.327038, -122.327438, -122.328538, -122.329087, -122.331138, -122.333838, -122.333738, 47.70702, 47.70322, 47.70322, 47.701445, 47.70142, 47.70142, 47.70312, 47.70312, 47.70132, 47.70132, 47.70122, 47.70122, 47.70392, 47.70672, 
47.70842, 47.71222, 47.71232, 47.71232, 47.71232, 47.712423, 47.71242, 47.71402, 47.71242, 47.712408, 47.71242, 47.71242, 47.70702)))","Census Tract 12, King County, Washington",B25033_008,0.6941036128152692,NA,2009,NA,NA,Renter occupied,5868
53033001300,"list(list(c(-122.344639, -122.347339, -122.349939, -122.349939, -122.350039, -122.349839, -122.349939, -122.349939, -122.347339, -122.344539, -122.344539, -122.341939, -122.341839, -122.335038, -122.335038, -122.333738, -122.333738, -122.339339, -122.341939, -122.344639, -122.344639, 47.70662, 47.70662, 47.70652, 47.70512, 47.70292, 47.70152, 47.69972, 47.69792, 47.69782, 47.69782, 47.69712, 47.69712, 47.69772, 47.69782, 47.70132, 47.70322, 47.70702, 47.70702, 47.70692, 47.70702, 47.70662)))","Census Tract 13, King County, Washington",B25033_002,0.2947317310026705,NA,2009,NA,NA,Owner occupied,4119
53033001300,"list(list(c(-122.344639, -122.347339, -122.349939, -122.349939, -122.350039, -122.349839, -122.349939, -122.349939, -122.347339, -122.344539, -122.344539, -122.341939, -122.341839, -122.335038, -122.335038, -122.333738, -122.333738, -122.339339, -122.341939, -122.344639, -122.344639, 47.70662, 47.70662, 47.70652, 47.70512, 47.70292, 47.70152, 47.69972, 47.69792, 47.69782, 47.69782, 47.69712, 47.69712, 47.69772, 47.69782, 47.70132, 47.70322, 47.70702, 47.70702, 47.70692, 47.70702, 47.70662)))","Census Tract 13, King County, Washington",B25033_008,0.7052682689973294,NA,2009,NA,NA,Renter occupied,4119
53033001400,"list(list(c(-122.360839, -122.360639, -122.363339, -122.36634, -122.36784, -122.37014, -122.378790995234, -122.38044, -122.368997, -122.37084, -122.37524, -122.37384, -122.37394, -122.37394, -122.37394, -122.37384, -122.37384, -122.368539, -122.365839, -122.364539, -122.363339, -122.360639, -122.358139, -122.355339, -122.349939, -122.349939, -122.350139, -122.350139, -122.350239, -122.355339, -122.356739, -122.358039, -122.360839, 47.712419, 47.708819, 47.708919, 47.711219, 47.711919, 47.711219, 
47.7121696588169, 47.709119, 47.708919, 47.708419, 47.707919, 47.707619, 47.705219, 47.703419, 47.701619, 47.697919, 47.695719, 47.698519, 47.699819, 47.700419, 47.701119, 47.702519, 47.703719, 47.705119, 47.70512, 47.70652, 47.70812, 47.70882, 47.712519, 47.712419, 47.712419, 47.712419, 47.712419)))","Census Tract 14, King County, Washington",B25033_002,0.6444300518134715,NA,2009,NA,NA,Owner occupied,4632
53033001400,"list(list(c(-122.360839, -122.360639, -122.363339, -122.36634, -122.36784, -122.37014, -122.378790995234, -122.38044, -122.368997, -122.37084, -122.37524, -122.37384, -122.37394, -122.37394, -122.37394, -122.37384, -122.37384, -122.368539, -122.365839, -122.364539, -122.363339, -122.360639, -122.358139, -122.355339, -122.349939, -122.349939, -122.350139, -122.350139, -122.350239, -122.355339, -122.356739, -122.358039, -122.360839, 47.712419, 47.708819, 47.708919, 47.711219, 47.711919, 47.711219, 
47.7121696588169, 47.709119, 47.708919, 47.708419, 47.707919, 47.707619, 47.705219, 47.703419, 47.701619, 47.697919, 47.695719, 47.698519, 47.699819, 47.700419, 47.701119, 47.702519, 47.703719, 47.705119, 47.70512, 47.70652, 47.70812, 47.70882, 47.712519, 47.712419, 47.712419, 47.712419, 47.712419)))","Census Tract 14, King County, Washington",B25033_008,0.3555699481865285,NA,2009,NA,NA,Renter occupied,4632
