GEOID,variable,value,moe,summary_est,summary_moe,geometry,Year,short_label,SE,CoV,censored_est
53033000401,low_burden,0.5465498357064622,0.3253012029279427,1826,214,"list(c(-122.36084, -122.36094, -122.36094, -122.36094, -122.358339, -122.355639, -122.355539, -122.351739, -122.350639, -122.348139, -122.345039, -122.345139, -122.345139, -122.345208, -122.345239, -122.351739, -122.35574, -122.35904, -122.36084, 47.733919, 47.730419, 47.728619, 47.724919, 47.724919, 47.724919, 47.722819, 47.722919, 47.722919, 47.722919, 47.723319, 47.726819, 47.728619, 47.732319, 47.734119, 47.734019, 47.734019, 47.734019, 47.733919))",2009,Prevalence,0.19776908874915963,0.3618500561683021,0.5465498357064622
53033000401,severely_burdened,0.21631982475355968,0.09036144471652674,1826,214,"list(c(-122.36084, -122.36094, -122.36094, -122.36094, -122.358339, -122.355639, -122.355539, -122.351739, -122.350639, -122.348139, -122.345039, -122.345139, -122.345139, -122.345208, -122.345239, -122.351739, -122.35574, -122.35904, -122.36084, 47.733919, 47.730419, 47.728619, 47.724919, 47.724919, 47.724919, 47.722819, 47.722919, 47.722919, 47.722919, 47.723319, 47.726819, 47.728619, 47.732319, 47.734119, 47.734019, 47.734019, 47.734019, 47.733919))",2009,Prevalence,0.05493585765683009,0.25395664830727027,0.21631982475355968
53033000402,highly_burdened,0.11209677419354838,0.14677419291524235,1240,187,"list(c(-122.36094, -122.36114, -122.36114, -122.360939, -122.360839, -122.360839, -122.358039, -122.356739, -122.355339, -122.350239, -122.350139, -122.350139, -122.349939, -122.347339, -122.344639, -122.344639, -122.344739, -122.344739, -122.344739, -122.345039, -122.345039, -122.345039, -122.348139, -122.350639, -122.351739, -122.355539, -122.355639, -122.358339, -122.36094, 47.724919, 47.723219, 47.721319, 47.717919, 47.716019, 47.712419, 47.712419, 47.712419, 47.712419, 47.712519, 47.70882, 47.70812, 
47.70652, 47.70662, 47.70662, 47.70702, 47.70822, 47.71252, 47.71342, 47.719719, 47.722519, 47.723319, 47.722919, 47.722919, 47.722919, 47.722819, 47.724919, 47.724919, 47.724919))",2009,Prevalence,0.0892323733311576,0.79602980525637,0.11209677419354838
53033000402,low_burden,0.4846774193548387,0.379838705103665,1240,187,"list(c(-122.36094, -122.36114, -122.36114, -122.360939, -122.360839, -122.360839, -122.358039, -122.356739, -122.355339, -122.350239, -122.350139, -122.350139, -122.349939, -122.347339, -122.344639, -122.344639, -122.344739, -122.344739, -122.344739, -122.345039, -122.345039, -122.345039, -122.348139, -122.350639, -122.351739, -122.355539, -122.355639, -122.358339, -122.36094, 47.724919, 47.723219, 47.721319, 47.717919, 47.716019, 47.712419, 47.712419, 47.712419, 47.712419, 47.712519, 47.70882, 47.70812, 
47.70652, 47.70662, 47.70662, 47.70702, 47.70822, 47.71252, 47.71342, 47.719719, 47.722519, 47.723319, 47.722919, 47.722919, 47.722919, 47.722819, 47.724919, 47.724919, 47.724919))",2009,Prevalence,0.23092553579229302,0.47645202060306713,0.4846774193548387
53033000402,severely_burdened,0.4032258064516129,0.11935482863518664,1240,187,"list(c(-122.36094, -122.36114, -122.36114, -122.360939, -122.360839, -122.360839, -122.358039, -122.356739, -122.355339, -122.350239, -122.350139, -122.350139, -122.349939, -122.347339, -122.344639, -122.344639, -122.344739, -122.344739, -122.344739, -122.345039, -122.345039, -122.345039, -122.348139, -122.350639, -122.351739, -122.355539, -122.355639, -122.358339, -122.36094, 47.724919, 47.723219, 47.721319, 47.717919, 47.716019, 47.712419, 47.712419, 47.712419, 47.712419, 47.712519, 47.70882, 47.70812, 
47.70652, 47.70662, 47.70662, 47.70702, 47.70822, 47.71252, 47.71342, 47.719719, 47.722519, 47.723319, 47.722919, 47.722919, 47.722919, 47.722819, 47.724919, 47.724919, 47.724919))",2009,Prevalence,0.0725625834904202,0.17995520705624213,0.4032258064516129
53033000500,highly_burdened,0,14.28,25,28,"list(c(-122.37314, -122.374255895954, -122.375640722677, -122.375685451675, -122.37644, -122.377462801303, -122.378790995234, -122.37014, -122.36784, -122.36634, -122.363339, -122.360639, -122.360839, -122.360839, -122.360939, -122.36114, -122.36114, -122.36094, -122.36094, -122.36094, -122.36084, -122.36174, -122.37494, -122.375379851173, -122.37314, 47.729219, 47.7249244913295, 47.7195950066685, 47.7194228677943, 47.716519, 47.7146268175896, 47.7121696588169, 47.711219, 47.711919, 47.711219, 47.708919, 
47.708819, 47.712419, 47.716019, 47.717919, 47.721319, 47.723219, 47.724919, 47.728619, 47.730419, 47.733919, 47.734019, 47.733919, 47.7339104049412, 47.729219))",2009,Prevalence,8.681623559700066,Inf,NA
53033000500,low_burden,0.56,19.87998416981905,25,28,"list(c(-122.37314, -122.374255895954, -122.375640722677, -122.375685451675, -122.37644, -122.377462801303, -122.378790995234, -122.37014, -122.36784, -122.36634, -122.363339, -122.360639, -122.360839, -122.360839, -122.360939, -122.36114, -122.36114, -122.36094, -122.36094, -122.36094, -122.36084, -122.36174, -122.37494, -122.375379851173, -122.37314, 47.729219, 47.7249244913295, 47.7195950066685, 47.7194228677943, 47.716519, 47.7146268175896, 47.7121696588169, 47.711219, 47.711919, 47.711219, 47.708919, 
47.708819, 47.712419, 47.716019, 47.717919, 47.721319, 47.723219, 47.724919, 47.728619, 47.730419, 47.733919, 47.734019, 47.733919, 47.7339104049412, 47.729219))",2009,Prevalence,12.086172194339316,21.58245034703449,NA
53033000500,severely_burdened,0.44,0.7197301140399781,25,28,"list(c(-122.37314, -122.374255895954, -122.375640722677, -122.375685451675, -122.37644, -122.377462801303, -122.378790995234, -122.37014, -122.36784, -122.36634, -122.363339, -122.360639, -122.360839, -122.360839, -122.360939, -122.36114, -122.36114, -122.36094, -122.36094, -122.36094, -122.36084, -122.36174, -122.37494, -122.375379851173, -122.37314, 47.729219, 47.7249244913295, 47.7195950066685, 47.7194228677943, 47.716519, 47.7146268175896, 47.7121696588169, 47.711219, 47.711919, 47.711219, 47.708919, 
47.708819, 47.712419, 47.716019, 47.717919, 47.721319, 47.723219, 47.724919, 47.728619, 47.730419, 47.733919, 47.734019, 47.733919, 47.7339104049412, 47.729219))",2009,Prevalence,0.4375648399632416,0.9944655453710036,0.44
53033000600,highly_burdened,0.2562189054726368,0.20646765761151634,1206,233,"list(c(-122.345139, -122.345039, -122.345039, -122.345039, -122.344739, -122.344739, -122.344739, -122.344639, -122.341939, -122.339339, -122.333738, -122.333838, -122.331138, -122.329087, -122.328538, -122.327438, -122.327038, -122.326722, -122.323238, -122.320538, -122.317738, -122.312338, -122.312505, -122.312599, -122.312575, -122.312438, -122.317938, -122.320738, -122.323438, -122.323438, -122.323438, -122.324238, -122.324607, -122.328839, -122.330239, -122.331539, -122.334139, -122.339639, 
-122.340939, -122.345139, -122.345139, 47.726819, 47.723319, 47.722519, 47.719719, 47.71342, 47.71252, 47.70822, 47.70702, 47.70692, 47.70702, 47.70702, 47.71242, 47.71242, 47.712408, 47.71242, 47.71402, 47.71242, 47.712423, 47.71232, 47.71232, 47.71232, 47.71222, 47.714006, 47.715844, 47.717646, 47.71952, 47.71962, 47.71962, 47.71962, 47.72192, 47.72312, 47.72352, 47.723772, 47.72612, 47.72682, 47.72742, 47.728619, 47.728619, 47.728719, 47.728619, 47.726819))",2009,Prevalence,0.1255234230137414,0.4899069519565441,0.2562189054726368
53033000600,low_burden,0.44859038142620233,0.3515754487083693,1206,233,"list(c(-122.345139, -122.345039, -122.345039, -122.345039, -122.344739, -122.344739, -122.344739, -122.344639, -122.341939, -122.339339, -122.333738, -122.333838, -122.331138, -122.329087, -122.328538, -122.327438, -122.327038, -122.326722, -122.323238, -122.320538, -122.317738, -122.312338, -122.312505, -122.312599, -122.312575, -122.312438, -122.317938, -122.320738, -122.323438, -122.323438, -122.323438, -122.324238, -122.324607, -122.328839, -122.330239, -122.331539, -122.334139, -122.339639, 
-122.340939, -122.345139, -122.345139, 47.726819, 47.723319, 47.722519, 47.719719, 47.71342, 47.71252, 47.70822, 47.70702, 47.70692, 47.70702, 47.70702, 47.71242, 47.71242, 47.712408, 47.71242, 47.71402, 47.71242, 47.712423, 47.71232, 47.71232, 47.71232, 47.71222, 47.714006, 47.715844, 47.717646, 47.71952, 47.71962, 47.71962, 47.71962, 47.72192, 47.72312, 47.72352, 47.723772, 47.72612, 47.72682, 47.72742, 47.728619, 47.728619, 47.728719, 47.728619, 47.726819))",2009,Prevalence,0.213742695974699,0.4764763241136543,0.44859038142620233
