disasterNumber,declarationDate,incidentType,pwNumber,applicationTitle,applicantId,damageCategoryCode,dcc,damageCategory,projectSize,county,countyCode,state,stateCode,stateNumberCode,projectAmount,federalShareObligated,totalObligated,obligatedDate,hash,lastRefresh,id
1361,2001-03-01T05:00:00.000Z,Earthquake,794,UTILITIES  -  WATER QUALITY MONITORING WELLS/MULTIPLE LOCATIONS,033-99033-00,F - Public Utilities,F,Public Utilities,Small,King,33,Washington,WA,53,16790,12592.5,12992.94,2001-10-24T04:18:34.000Z,29e0a6ff6e50e126a8099d1894ac3a394ee76468,2021-07-14T16:34:13.634Z,5ee7598a556129600dd5ed64
1361,2001-03-01T05:00:00.000Z,Earthquake,795,EMERGENCY PROTECTIVE MEASURES ROADWAY-TWO LANE ACCESS,033-99033-00,B - Protective Measures,B,Protective Measures,Small,King,33,Washington,WA,53,12359.8,9269.85,9440.41,2001-12-12T21:32:21.000Z,3f5ecf71f8fe4ee33fc5c29d999274f325a6eec6,2021-07-14T16:34:13.635Z,5ee7598a556129600dd5ed65
1361,2001-03-01T05:00:00.000Z,Earthquake,796,EMERGENCY PROTECTIVE MEASURES - COUNTYWIDE,033-99033-00,B - Protective Measures,B,Protective Measures,Small,King,33,Washington,WA,53,20280.6,15210.45,15694.14,2001-10-24T04:18:34.000Z,8c578e4745e78ab5350d02419610302d4e3167bc,2021-07-14T16:34:13.635Z,5ee7598a556129600dd5ed66
1361,2001-03-01T05:00:00.000Z,Earthquake,797,EMERGENCY PROTECTIVE MEASURES  - CORBIN BEACH RD.,033-99033-00,B - Protective Measures,B,Protective Measures,Small,King,33,Washington,WA,53,13256.59,9942.44,10258.61,2001-10-24T04:18:34.000Z,b137d41080919bbd9091a317715c23433f862a59,2021-07-14T16:34:13.635Z,5ee7598a556129600dd5ed67
1361,2001-03-01T05:00:00.000Z,Earthquake,799,ROAD REPAIR - SE JONES ROAD @ 19709,033-99033-00,C - Roads and Bridges,C,Roads and Bridges,Small,King,33,Washington,WA,53,11568.11,8676.08,8835.72,2001-11-21T04:17:49.000Z,c63e1050957fc53e03ba8179314aef3ee1f87b1d,2021-07-14T16:34:13.636Z,5ee7598a556129600dd5ed68
1361,2001-03-01T05:00:00.000Z,Earthquake,800,ROAD REPAIR - SE DAVID POWELL ROAD,033-99033-00,C - Roads and Bridges,C,Roads and Bridges,Small,King,33,Washington,WA,53,4539.78,3404.84,3513.12,2001-10-24T04:18:34.000Z,3835c4b687bee0a27b7c7bab6ec60b5398cc705e,2021-07-14T16:34:13.636Z,5ee7598a556129600dd5ed69
1361,2001-03-01T05:00:00.000Z,Earthquake,801,ROAD DAMAGE - SE JONES ROAD - MULTIPLE LOCATIONS 18800 BLOCK,033-99033-00,C - Roads and Bridges,C,Roads and Bridges,Small,King,33,Washington,WA,53,22323.49,16742.62,17275.04,2001-10-24T04:18:34.000Z,8c3890cbfdca2a0191892f8e1fb1b60473492130,2021-07-14T16:34:13.637Z,5ee7598a556129600dd5ed6a
1361,2001-03-01T05:00:00.000Z,Earthquake,802,ROAD REPAIR - SE JONES ROAD @19221,033-99033-00,C - Roads and Bridges,C,Roads and Bridges,Small,King,33,Washington,WA,53,9365.87,7024.4,7247.77,2001-10-24T04:18:34.000Z,03d0fd5ac154a3cf27edd4a9e98c90ae80a95aaa,2021-07-14T16:34:13.637Z,5ee7598a556129600dd5ed6b
1361,2001-03-01T05:00:00.000Z,Earthquake,803,ROAD REPAIR - SE MILL POND ROAD,033-99033-00,C - Roads and Bridges,C,Roads and Bridges,Small,King,33,Washington,WA,53,14941.32,11205.99,11412.17,2001-11-21T04:17:49.000Z,b3371c697b07ad04b07bae432cf41b5ca1434e1a,2021-07-14T16:34:13.638Z,5ee7598a556129600dd5ed6c
1361,2001-03-01T05:00:00.000Z,Earthquake,804,BUILDING DAMAGE -  ALKI  ELEMENTARY SCHOOL,033-004AD-00,E - Public Buildings,E,Public Buildings,Small,King,33,Washington,WA,53,15531.36,11648.52,12018.95,2001-11-21T04:17:49.000Z,ac35aa196ee7ced0e58e0b8a81ad96b7d314fe7f,2021-07-14T16:34:13.638Z,5ee7598a556129600dd5ed6d
1361,2001-03-01T05:00:00.000Z,Earthquake,809,BUILDING DAMAGE -  WHITWORTH ELEMENTARY SCHOOL,033-004AD-00,E - Public Buildings,E,Public Buildings,Small,King,33,Washington,WA,53,8070.84,6053.13,6245.62,2002-02-07T04:19:33.000Z,68ea85506e8ca19c449664b7258f910726a31912,2021-07-14T16:34:13.642Z,5ee7598a556129600dd5ed72
1361,2001-03-01T05:00:00.000Z,Earthquake,810,BUILDING DAMAGE -  WHITMAN JR. HIGH,033-004AD-00,E - Public Buildings,E,Public Buildings,Small,King,33,Washington,WA,53,3156.78,2367.59,2455.04,2001-09-15T00:31:15.000Z,2486b7bbc3961917af67fddbb0b5ed35b276da86,2021-07-14T16:34:13.644Z,5ee7598a556129600dd5ed73
1361,2001-03-01T05:00:00.000Z,Earthquake,813,BUILDING DAMAGE-- B.F. DAY ELEMENTARY SCHOOL,033-004AD-00,E - Public Buildings,E,Public Buildings,Small,King,33,Washington,WA,53,23521.19,17640.89,18201.86,2001-10-24T04:18:34.000Z,9e1b67ee36b94be67767857fe01d4c2f7d9c3097,2021-07-14T16:34:13.645Z,5ee7598a556129600dd5ed75
1361,2001-03-01T05:00:00.000Z,Earthquake,814,BUILDING DAMAGE - WILSON PACIFIC MIDDLE SCHOOL,033-004AD-00,E - Public Buildings,E,Public Buildings,Small,King,33,Washington,WA,53,21430.36,16072.77,16583.89,2001-10-24T04:18:34.000Z,d5e516f71fb17b346e3337aa8daa90faebed7d66,2021-07-14T16:34:13.646Z,5ee7598a556129600dd5ed76
1361,2001-03-01T05:00:00.000Z,Earthquake,819,BUILDING DAMAGE  -  BLACK DIAMOND FIRE STATION,033-06330-00,E - Public Buildings,E,Public Buildings,Small,King,33,Washington,WA,53,0,0,0,2001-11-21T04:17:49.000Z,07163f33ea296da04626351ac4019fbc4feacfeb,2021-07-14T16:34:13.648Z,5ee7598a556129600dd5ed7c
1361,2001-03-01T05:00:00.000Z,Earthquake,820,BUILDING DAMAGE - MCKNIGHT MIDDLE SCHOOL,033-UR3HG-00,E - Public Buildings,E,Public Buildings,Small,King,33,Washington,WA,53,0,0,0,2001-09-15T00:31:15.000Z,144f878d6fd0b40b26ca771086b338657f5c7e5e,2021-07-14T16:34:13.648Z,5ee7598a556129600dd5ed7d
1361,2001-03-01T05:00:00.000Z,Earthquake,821,BUILDING DAMAGE - RENTON PARK ELEMENTARY SCHOOL,033-UR3HG-00,E - Public Buildings,E,Public Buildings,Small,King,33,Washington,WA,53,0,0,0,2001-10-04T02:59:50.000Z,d3392263606a6730087fb7095be5fb7d26efafba,2021-07-14T16:34:13.649Z,5ee7598a556129600dd5ed7e
1361,2001-03-01T05:00:00.000Z,Earthquake,823,PROTECTIVE EMERGENCY MEASURES  - 4 SITES,033-UA5P4-00,B - Protective Measures,B,Protective Measures,Small,King,33,Washington,WA,53,1877.54,1408.16,1452.94,2001-11-21T04:17:49.000Z,19f174c56b8cbabe1b66d02a5dbf43841f18327b,2021-07-14T16:34:13.650Z,5ee7598a556129600dd5ed80
1361,2001-03-01T05:00:00.000Z,Earthquake,828,BUILDING DAMAGE - MEEKER JR. HIGH,033-UA5P4-00,E - Public Buildings,E,Public Buildings,Small,King,33,Washington,WA,53,4001.91,3001.43,3137.1,2001-11-09T20:24:01.000Z,8901f50a5712da930ba4c1c2279b4632cbba386b,2021-07-14T16:34:13.652Z,5ee7598a556129600dd5ed81
1361,2001-03-01T05:00:00.000Z,Earthquake,825,EMERGENCY PROTECTIVE MEASURES  -  KENTRIDGE HIGH SCHOOL,033-UA5P4-00,B - Protective Measures,B,Protective Measures,Small,King,33,Washington,WA,53,1224.01,918.01,947.2,2001-11-21T04:17:49.000Z,9e17729f554d895cb0e7ffaf239684c12b0e322c,2021-07-14T16:34:13.652Z,5ee7598a556129600dd5ed83
1361,2001-03-01T05:00:00.000Z,Earthquake,826,EMERGENCY PROTECTIVE MEASURES - CEDAR HEIGHTS JR HIGH,033-UA5P4-00,B - Protective Measures,B,Protective Measures,Small,King,33,Washington,WA,53,1231.7,923.78,953.15,2001-11-21T04:17:49.000Z,0f127dcc4250f13ed17783ac3ba10cdac9e41e2f,2021-07-14T16:34:13.652Z,5ee7598a556129600dd5ed84
1361,2001-03-01T05:00:00.000Z,Earthquake,829,BUILDING DAMAGE - NEELY O'BRIEN ELEMENTARY SCHOOL,033-UA5P4-00,E - Public Buildings,E,Public Buildings,Small,King,33,Washington,WA,53,1131.52,848.64,875.62,2002-01-17T05:51:14.000Z,653277f5e21d92fa4502ae9b3484130911add2ae,2021-07-14T16:34:13.653Z,5ee7598a556129600dd5ed85
1361,2001-03-01T05:00:00.000Z,Earthquake,830,BUILDING DAMAGE - FAIRWOOD ELEMENTARY SCHOOL,033-UA5P4-00,E - Public Buildings,E,Public Buildings,Small,King,33,Washington,WA,53,1950.56,1462.92,1529.04,2001-11-09T20:24:01.000Z,23d7d30454ccd13c8e271df437f800068bd4cf76,2021-07-14T16:34:13.654Z,5ee7598a556129600dd5ed86
1361,2001-03-01T05:00:00.000Z,Earthquake,831,PROTECTIVE MEASURES - SAFETY INSPECTIONS FOR DISTRICT SCHOOL BLDGS,033-UA5P4-00,B - Protective Measures,B,Protective Measures,Small,King,33,Washington,WA,53,2035,1526.25,1574.78,2002-01-30T03:55:44.000Z,c7f036038f284dd2467aaca07fac02f42cd35c9a,2021-07-14T16:34:13.654Z,5ee7598a556129600dd5ed87
1361,2001-03-01T05:00:00.000Z,Earthquake,832,BUILDING DAMAGE - 18 SCHOOLS IN KENT,033-UA5P4-00,E - Public Buildings,E,Public Buildings,Large,King,33,Washington,WA,53,437696.51,328272.38,339656.62,2001-11-09T20:24:01.000Z,462d10c7a3822dc7f967f005722e222b2cfc1bfc,2021-07-14T16:34:13.654Z,5ee7598a556129600dd5ed88
