"Year","GEOID","Residence","Bedrooms","value","moe"
2000,53033005900,"Duplex","2",19,0
2000,53033006000,"Duplex","2",8,0
2000,53033006100,"Duplex","2",14,0
2000,53033006200,"Duplex","2",1,0
2000,53033006300,"Duplex","2",2,0
2000,53033006400,"Duplex","2",2,0
2000,53033006500,"Duplex","2",2,0
2000,53033006600,"Duplex","2",5,0
2000,53033006700,"Duplex","2",18,0
2000,53033006800,"Duplex","2",5,0
2000,53033006900,"Duplex","2",30,0
2000,53033007000,"Duplex","2",4,0
2000,53033007400,"Duplex","2",6,0
2000,53033007500,"Duplex","2",12,0
2000,53033007600,"Duplex","2",12,0
2000,53033007700,"Duplex","2",43,0
2000,53033007800,"Duplex","2",15,0
2000,53033007900,"Duplex","2",34,0
2000,53033008600,"Duplex","2",22,0
2000,53033008700,"Duplex","2",27,0
2000,53033008800,"Duplex","2",26,0
2000,53033008900,"Duplex","2",12,0
2000,53033009000,"Duplex","2",2,0
2000,53033009300,"Duplex","2",3,0
2000,53033009400,"Duplex","2",10,0
2000,53033009500,"Duplex","2",9,0
2000,53033009600,"Duplex","2",18,0
2000,53033009701,"Duplex","2",36,0
2000,53033009702,"Duplex","2",6,0
2000,53033009800,"Duplex","2",5,0
2000,53033009900,"Duplex","2",8,0
2000,53033010000,"Duplex","2",26,0
2000,53033010100,"Duplex","2",9,0
2000,53033010200,"Duplex","2",1,0
2000,53033010300,"Duplex","2",6,0
2000,53033010400,"Duplex","2",2,0
2000,53033010500,"Duplex","2",4,0
2000,53033010600,"Duplex","2",14,0
2000,53033010800,"Duplex","2",1,0
2000,53033010900,"Duplex","2",6,0
2000,53033011101,"Duplex","2",1,0
2000,53033011102,"Duplex","2",6,0
2000,53033011200,"Duplex","2",6,0
2000,53033011300,"Duplex","2",2,0
2000,53033011400,"Duplex","2",1,0
2000,53033011500,"Duplex","2",1,0
2000,53033011600,"Duplex","2",5,0
2000,53033011700,"Duplex","2",2,0
2000,53033011800,"Duplex","2",3,0
2000,53033011900,"Duplex","2",4,0
2000,53033012000,"Duplex","2",1,0
2000,53033012100,"Duplex","2",1,0
2000,53033020401,"Duplex","2",3,0
2000,53033020402,"Duplex","2",1,0
2000,53033020500,"Duplex","2",1,0
2000,53033020600,"Duplex","2",1,0
2000,53033020700,"Duplex","2",2,0
2000,53033020800,"Duplex","2",1,0
2000,53033020900,"Duplex","2",5,0
2000,53033021000,"Duplex","2",2,0
2000,53033021300,"Duplex","2",5,0
2000,53033021400,"Duplex","2",2,0
2000,53033021500,"Duplex","2",1,0
2000,53033021700,"Duplex","2",3,0
2000,53033021803,"Duplex","2",3,0
2000,53033022203,"Duplex","2",2,0
2000,53033022400,"Duplex","2",3,0
2000,53033022500,"Duplex","2",5,0
2000,53033022701,"Duplex","2",5,0
2000,53033023900,"Duplex","2",1,0
2000,53033025101,"Duplex","2",2,0
2000,53033025200,"Duplex","2",7,0
2000,53033025300,"Duplex","2",24,0
2000,53033025400,"Duplex","2",23,0
2000,53033025600,"Duplex","2",2,0
2000,53033026001,"Duplex","2",2,0
2000,53033026002,"Duplex","2",6,0
2000,53033026100,"Duplex","2",3,0
2000,53033026400,"Duplex","2",7,0
2000,53033026500,"Duplex","2",1,0
2000,53033026600,"Duplex","2",1,0
2000,53033026801,"Duplex","2",1,0
2000,53033026802,"Duplex","2",3,0
2000,53033026900,"Duplex","2",1,0
2000,53033027200,"Duplex","2",1,0
2000,53033027300,"Duplex","2",6,0
2000,53033027400,"Duplex","2",3,0
2000,53033027500,"Duplex","2",5,0
2000,53033027701,"Duplex","2",1,0
2000,53033027702,"Duplex","2",3,0
2000,53033027800,"Duplex","2",2,0
2000,53033027900,"Duplex","2",2,0
2000,53033028000,"Duplex","2",1,0
2000,53033028100,"Duplex","2",1,0
2000,53033028200,"Duplex","2",1,0
2000,53033028500,"Duplex","2",4,0
2000,53033028600,"Duplex","2",2,0
2000,53033028802,"Duplex","2",1,0
2000,53033028901,"Duplex","2",4,0
2000,53033028902,"Duplex","2",5,0
2000,53033029203,"Duplex","2",9,0
2000,53033029204,"Duplex","2",2,0
2000,53033029504,"Duplex","2",2,0
2000,53033029700,"Duplex","2",2,0
2000,53033030002,"Duplex","2",1,0
2000,53033030003,"Duplex","2",2,0
2000,53033030100,"Duplex","2",1,0
2000,53033030501,"Duplex","2",1,0
2000,53033030504,"Duplex","2",1,0
2000,53033030600,"Duplex","2",5,0
2000,53033030700,"Duplex","2",5,0
2000,53033030902,"Duplex","2",4,0
2000,53033031302,"Duplex","2",1,0
2000,53033031400,"Duplex","2",7,0
2000,53033031502,"Duplex","2",1,0
2000,53033031603,"Duplex","2",3,0
2000,53033031703,"Duplex","2",3,0
2000,53033032002,"Duplex","2",1,0
2000,53033032103,"Duplex","2",8,0
2000,53033032104,"Duplex","2",1,0
2000,53033032210,"Duplex","2",1,0
2000,53033032401,"Duplex","2",4,0
2000,53033032602,"Duplex","2",1,0
2000,53033032703,"Duplex","2",2,0
2000,53033032704,"Duplex","2",7,0
2000,53033000100,"Single Family","2",218,0
2000,53033000200,"Single Family","2",492,0
2000,53033000300,"Single Family","2",305,0
2000,53033000401,"Single Family","2",177,0
2000,53033000402,"Single Family","2",388,0
2000,53033000500,"Single Family","2",186,0
2000,53033000600,"Single Family","2",462,0
2000,53033000700,"Single Family","2",254,0
2000,53033000800,"Single Family","2",276,0
2000,53033000900,"Single Family","2",179,0
2000,53033001000,"Single Family","2",104,0
2000,53033001100,"Single Family","2",251,0
2000,53033001200,"Single Family","2",261,0
2000,53033001300,"Single Family","2",309,0
2000,53033001400,"Single Family","2",461,0
2000,53033001500,"Single Family","2",239,0
2000,53033001600,"Single Family","2",291,0
2000,53033001700,"Single Family","2",831,0
2000,53033001800,"Single Family","2",277,0
2000,53033001900,"Single Family","2",410,0
2000,53033002000,"Single Family","2",431,0
2000,53033002100,"Single Family","2",336,0
2000,53033002200,"Single Family","2",331,0
2000,53033002400,"Single Family","2",316,0
2000,53033002500,"Single Family","2",384,0
2000,53033002600,"Single Family","2",463,0
2000,53033002700,"Single Family","2",583,0
2000,53033002800,"Single Family","2",567,0
2000,53033002900,"Single Family","2",565,0
2000,53033003000,"Single Family","2",791,0
2000,53033003100,"Single Family","2",908,0
2000,53033003200,"Single Family","2",465,0
2000,53033003300,"Single Family","2",467,0
2000,53033003400,"Single Family","2",368,0
2000,53033003500,"Single Family","2",315,0
2000,53033003600,"Single Family","2",372,0
2000,53033003800,"Single Family","2",197,0
2000,53033003900,"Single Family","2",274,0
2000,53033004000,"Single Family","2",119,0
2000,53033004100,"Single Family","2",326,0
2000,53033004200,"Single Family","2",729,0
2000,53033004300,"Single Family","2",242,0
2000,53033004400,"Single Family","2",139,0
2000,53033004500,"Single Family","2",283,0
2000,53033004600,"Single Family","2",369,0
2000,53033004700,"Single Family","2",209,0
2000,53033004800,"Single Family","2",501,0
2000,53033004900,"Single Family","2",230,0
2000,53033005000,"Single Family","2",214,0
2000,53033005100,"Single Family","2",283,0
2000,53033005200,"Single Family","2",187,0
2000,53033005301,"Single Family","2",2,0
2000,53033005400,"Single Family","2",228,0
2000,53033005600,"Single Family","2",816,0
2000,53033005700,"Single Family","2",606,0
2000,53033005801,"Single Family","2",291,0
2000,53033005802,"Single Family","2",213,0
2000,53033005900,"Single Family","2",456,0
2000,53033006000,"Single Family","2",272,0
2000,53033006100,"Single Family","2",115,0
2000,53033006200,"Single Family","2",264,0
2000,53033006300,"Single Family","2",311,0
2000,53033006400,"Single Family","2",131,0
2000,53033006500,"Single Family","2",72,0
2000,53033006600,"Single Family","2",29,0
2000,53033006700,"Single Family","2",118,0
2000,53033006800,"Single Family","2",207,0
2000,53033006900,"Single Family","2",220,0
2000,53033007000,"Single Family","2",36,0
2000,53033007400,"Single Family","2",8,0
2000,53033007500,"Single Family","2",45,0
2000,53033007600,"Single Family","2",79,0
2000,53033007700,"Single Family","2",431,0
2000,53033007800,"Single Family","2",396,0
2000,53033007900,"Single Family","2",113,0
2000,53033008400,"Single Family","2",1,0
2000,53033008600,"Single Family","2",51,0
2000,53033008700,"Single Family","2",131,0
2000,53033008800,"Single Family","2",287,0
2000,53033008900,"Single Family","2",288,0
2000,53033009000,"Single Family","2",67,0
2000,53033009300,"Single Family","2",137,0
2000,53033009400,"Single Family","2",284,0
2000,53033009500,"Single Family","2",302,0
2000,53033009600,"Single Family","2",311,0
2000,53033009701,"Single Family","2",418,0
2000,53033009702,"Single Family","2",670,0
2000,53033009800,"Single Family","2",724,0
2000,53033009900,"Single Family","2",441,0
2000,53033010000,"Single Family","2",667,0
2000,53033010100,"Single Family","2",453,0
2000,53033010200,"Single Family","2",484,0
2000,53033010300,"Single Family","2",452,0
2000,53033010400,"Single Family","2",829,0
2000,53033010500,"Single Family","2",590,0
2000,53033010600,"Single Family","2",915,0
2000,53033010700,"Single Family","2",280,0
2000,53033010800,"Single Family","2",366,0
2000,53033010900,"Single Family","2",123,0
2000,53033011000,"Single Family","2",292,0
2000,53033011101,"Single Family","2",286,0
2000,53033011102,"Single Family","2",252,0
2000,53033011200,"Single Family","2",328,0
2000,53033011300,"Single Family","2",571,0
2000,53033011400,"Single Family","2",615,0
2000,53033011500,"Single Family","2",804,0
2000,53033011600,"Single Family","2",693,0
2000,53033011700,"Single Family","2",329,0
2000,53033011800,"Single Family","2",474,0
2000,53033011900,"Single Family","2",617,0
2000,53033012000,"Single Family","2",535,0
2000,53033012100,"Single Family","2",213,0
2000,53033020100,"Single Family","2",139,0
2000,53033020200,"Single Family","2",113,0
2000,53033020300,"Single Family","2",170,0
2000,53033020401,"Single Family","2",186,0
2000,53033020402,"Single Family","2",126,0
2000,53033020500,"Single Family","2",441,0
2000,53033020600,"Single Family","2",206,0
2000,53033020700,"Single Family","2",146,0
2000,53033020800,"Single Family","2",107,0
2000,53033020900,"Single Family","2",137,0
2000,53033021000,"Single Family","2",372,0
2000,53033021100,"Single Family","2",489,0
2000,53033021300,"Single Family","2",278,0
2000,53033021400,"Single Family","2",303,0
2000,53033021500,"Single Family","2",111,0
2000,53033021600,"Single Family","2",96,0
2000,53033021700,"Single Family","2",136,0
2000,53033021802,"Single Family","2",22,0
2000,53033021803,"Single Family","2",73,0
2000,53033021804,"Single Family","2",73,0
2000,53033021903,"Single Family","2",14,0
2000,53033021904,"Single Family","2",79,0
2000,53033021905,"Single Family","2",40,0
2000,53033021906,"Single Family","2",67,0
2000,53033022001,"Single Family","2",40,0
2000,53033022003,"Single Family","2",20,0
2000,53033022005,"Single Family","2",73,0
2000,53033022006,"Single Family","2",55,0
2000,53033022101,"Single Family","2",64,0
2000,53033022102,"Single Family","2",117,0
2000,53033022201,"Single Family","2",39,0
2000,53033022202,"Single Family","2",33,0
2000,53033022203,"Single Family","2",99,0
2000,53033022300,"Single Family","2",86,0
2000,53033022400,"Single Family","2",415,0
2000,53033022500,"Single Family","2",204,0
2000,53033022603,"Single Family","2",71,0
2000,53033022604,"Single Family","2",121,0
2000,53033022605,"Single Family","2",179,0
2000,53033022606,"Single Family","2",58,0
2000,53033022701,"Single Family","2",71,0
2000,53033022702,"Single Family","2",74,0
2000,53033022703,"Single Family","2",20,0
2000,53033022801,"Single Family","2",19,0
2000,53033022802,"Single Family","2",98,0
2000,53033022803,"Single Family","2",14,0
2000,53033022901,"Single Family","2",15,0
2000,53033022902,"Single Family","2",84,0
2000,53033023000,"Single Family","2",49,0
2000,53033023100,"Single Family","2",98,0
2000,53033023201,"Single Family","2",9,0
2000,53033023202,"Single Family","2",3,0
2000,53033023300,"Single Family","2",21,0
2000,53033023401,"Single Family","2",15,0
2000,53033023402,"Single Family","2",80,0
2000,53033023500,"Single Family","2",14,0
2000,53033023601,"Single Family","2",14,0
2000,53033023603,"Single Family","2",10,0
2000,53033023604,"Single Family","2",53,0
2000,53033023700,"Single Family","2",21,0
2000,53033023801,"Single Family","2",35,0
2000,53033023900,"Single Family","2",219,0
2000,53033024000,"Single Family","2",198,0
2000,53033024100,"Single Family","2",83,0
2000,53033024200,"Single Family","2",106,0
2000,53033024300,"Single Family","2",217,0
2000,53033024400,"Single Family","2",42,0
2000,53033024500,"Single Family","2",70,0
2000,53033024601,"Single Family","2",46,0
2000,53033024602,"Single Family","2",39,0
2000,53033024701,"Single Family","2",24,0
2000,53033024702,"Single Family","2",80,0
2000,53033024800,"Single Family","2",77,0
2000,53033024901,"Single Family","2",41,0
2000,53033024902,"Single Family","2",17,0
2000,53033024903,"Single Family","2",24,0
2000,53033025001,"Single Family","2",31,0
2000,53033025003,"Single Family","2",32,0
2000,53033025004,"Single Family","2",57,0
2000,53033025101,"Single Family","2",42,0
2000,53033025102,"Single Family","2",94,0
2000,53033025200,"Single Family","2",167,0
2000,53033025300,"Single Family","2",522,0
2000,53033025400,"Single Family","2",343,0
2000,53033025500,"Single Family","2",276,0
2000,53033025600,"Single Family","2",166,0
2000,53033025701,"Single Family","2",95,0
2000,53033025702,"Single Family","2",48,0
2000,53033025801,"Single Family","2",198,0
2000,53033025803,"Single Family","2",38,0
2000,53033025804,"Single Family","2",127,0
2000,53033026001,"Single Family","2",456,0
2000,53033026002,"Single Family","2",311,0
2000,53033026100,"Single Family","2",361,0
2000,53033026200,"Single Family","2",138,0
2000,53033026300,"Single Family","2",169,0
2000,53033026400,"Single Family","2",241,0
2000,53033026500,"Single Family","2",86,0
2000,53033026600,"Single Family","2",219,0
2000,53033026700,"Single Family","2",281,0
2000,53033026801,"Single Family","2",322,0
2000,53033026802,"Single Family","2",258,0
2000,53033026900,"Single Family","2",181,0
2000,53033027000,"Single Family","2",267,0
2000,53033027100,"Single Family","2",258,0
2000,53033027200,"Single Family","2",178,0
2000,53033027300,"Single Family","2",376,0
2000,53033027400,"Single Family","2",426,0
2000,53033027500,"Single Family","2",401,0
2000,53033027600,"Single Family","2",123,0
2000,53033027701,"Single Family","2",537,0
2000,53033027702,"Single Family","2",595,0
2000,53033027800,"Single Family","2",248,0
2000,53033027900,"Single Family","2",409,0
2000,53033028000,"Single Family","2",81,0
2000,53033028100,"Single Family","2",79,0
2000,53033028200,"Single Family","2",141,0
2000,53033028300,"Single Family","2",202,0
2000,53033028402,"Single Family","2",276,0
2000,53033028403,"Single Family","2",41,0
2000,53033028500,"Single Family","2",122,0
2000,53033028600,"Single Family","2",182,0
2000,53033028700,"Single Family","2",150,0
2000,53033028801,"Single Family","2",64,0
2000,53033028802,"Single Family","2",111,0
2000,53033028901,"Single Family","2",112,0
2000,53033028902,"Single Family","2",54,0
2000,53033029001,"Single Family","2",426,0
2000,53033029003,"Single Family","2",40,0
2000,53033029004,"Single Family","2",33,0
2000,53033029100,"Single Family","2",70,0
2000,53033029201,"Single Family","2",16,0
2000,53033029203,"Single Family","2",178,0
2000,53033029204,"Single Family","2",67,0
2000,53033029303,"Single Family","2",77,0
2000,53033029304,"Single Family","2",73,0
2000,53033029305,"Single Family","2",58,0
2000,53033029306,"Single Family","2",34,0
2000,53033029307,"Single Family","2",42,0
2000,53033029403,"Single Family","2",36,0
2000,53033029405,"Single Family","2",38,0
2000,53033029406,"Single Family","2",42,0
2000,53033029407,"Single Family","2",7,0
2000,53033029408,"Single Family","2",30,0
2000,53033029502,"Single Family","2",47,0
2000,53033029503,"Single Family","2",32,0
2000,53033029504,"Single Family","2",31,0
2000,53033029601,"Single Family","2",56,0
2000,53033029602,"Single Family","2",33,0
2000,53033029700,"Single Family","2",185,0
2000,53033029801,"Single Family","2",49,0
2000,53033029802,"Single Family","2",72,0
2000,53033029901,"Single Family","2",59,0
2000,53033029902,"Single Family","2",46,0
2000,53033030002,"Single Family","2",72,0
2000,53033030003,"Single Family","2",113,0
2000,53033030004,"Single Family","2",12,0
2000,53033030100,"Single Family","2",151,0
2000,53033030201,"Single Family","2",132,0
2000,53033030202,"Single Family","2",26,0
2000,53033030303,"Single Family","2",83,0
2000,53033030304,"Single Family","2",64,0
2000,53033030305,"Single Family","2",33,0
2000,53033030306,"Single Family","2",36,0
2000,53033030308,"Single Family","2",20,0
2000,53033030309,"Single Family","2",2,0
2000,53033030310,"Single Family","2",11,0
2000,53033030311,"Single Family","2",4,0
2000,53033030312,"Single Family","2",54,0
2000,53033030401,"Single Family","2",165,0
2000,53033030403,"Single Family","2",49,0
2000,53033030404,"Single Family","2",131,0
2000,53033030501,"Single Family","2",99,0
2000,53033030503,"Single Family","2",67,0
2000,53033030504,"Single Family","2",63,0
2000,53033030600,"Single Family","2",408,0
2000,53033030700,"Single Family","2",259,0
2000,53033030801,"Single Family","2",30,0
2000,53033030802,"Single Family","2",50,0
2000,53033030901,"Single Family","2",133,0
2000,53033030902,"Single Family","2",113,0
2000,53033031000,"Single Family","2",20,0
2000,53033031100,"Single Family","2",23,0
2000,53033031202,"Single Family","2",80,0
2000,53033031204,"Single Family","2",122,0
2000,53033031205,"Single Family","2",30,0
2000,53033031206,"Single Family","2",68,0
2000,53033031301,"Single Family","2",59,0
2000,53033031302,"Single Family","2",48,0
2000,53033031400,"Single Family","2",407,0
2000,53033031501,"Single Family","2",155,0
2000,53033031502,"Single Family","2",128,0
2000,53033031601,"Single Family","2",107,0
2000,53033031602,"Single Family","2",130,0
2000,53033031603,"Single Family","2",181,0
2000,53033031702,"Single Family","2",91,0
2000,53033031703,"Single Family","2",83,0
2000,53033031704,"Single Family","2",74,0
2000,53033031800,"Single Family","2",99,0
2000,53033031903,"Single Family","2",158,0
2000,53033031904,"Single Family","2",87,0
2000,53033031906,"Single Family","2",100,0
2000,53033031907,"Single Family","2",13,0
2000,53033031908,"Single Family","2",10,0
2000,53033031909,"Single Family","2",11,0
2000,53033032002,"Single Family","2",147,0
2000,53033032003,"Single Family","2",220,0
2000,53033032005,"Single Family","2",172,0
2000,53033032006,"Single Family","2",41,0
2000,53033032007,"Single Family","2",63,0
2000,53033032008,"Single Family","2",124,0
2000,53033032009,"Single Family","2",62,0
2000,53033032102,"Single Family","2",153,0
2000,53033032103,"Single Family","2",145,0
2000,53033032104,"Single Family","2",93,0
2000,53033032203,"Single Family","2",122,0
2000,53033032207,"Single Family","2",80,0
2000,53033032208,"Single Family","2",32,0
2000,53033032209,"Single Family","2",82,0
2000,53033032210,"Single Family","2",92,0
2000,53033032211,"Single Family","2",18,0
2000,53033032212,"Single Family","2",9,0
2000,53033032307,"Single Family","2",58,0
2000,53033032309,"Single Family","2",25,0
2000,53033032311,"Single Family","2",78,0
2000,53033032312,"Single Family","2",97,0
2000,53033032313,"Single Family","2",72,0
2000,53033032314,"Single Family","2",53,0
2000,53033032315,"Single Family","2",127,0
2000,53033032316,"Single Family","2",75,0
2000,53033032317,"Single Family","2",52,0
2000,53033032318,"Single Family","2",107,0
2000,53033032319,"Single Family","2",16,0
2000,53033032320,"Single Family","2",61,0
2000,53033032321,"Single Family","2",59,0
2000,53033032322,"Single Family","2",16,0
2000,53033032323,"Single Family","2",15,0
2000,53033032324,"Single Family","2",42,0
2000,53033032325,"Single Family","2",5,0
2000,53033032401,"Single Family","2",185,0
2000,53033032402,"Single Family","2",117,0
2000,53033032500,"Single Family","2",234,0
2000,53033032601,"Single Family","2",157,0
2000,53033032602,"Single Family","2",130,0
2000,53033032702,"Single Family","2",206,0
2000,53033032703,"Single Family","2",199,0
2000,53033032704,"Single Family","2",217,0
2000,53033032800,"Single Family","2",307,0
2000,53033000100,"TownhousePlat","2",7,0
2000,53033000300,"TownhousePlat","2",1,0
2000,53033000700,"TownhousePlat","2",8,0
2000,53033001300,"TownhousePlat","2",8,0
2000,53033001700,"TownhousePlat","2",4,0
2000,53033001800,"TownhousePlat","2",9,0
2000,53033002700,"TownhousePlat","2",5,0
2000,53033003200,"TownhousePlat","2",4,0
2000,53033003300,"TownhousePlat","2",1,0
2000,53033003600,"TownhousePlat","2",3,0
2000,53033004700,"TownhousePlat","2",1,0
2000,53033006000,"TownhousePlat","2",2,0
2000,53033006300,"TownhousePlat","2",6,0
2000,53033006700,"TownhousePlat","2",4,0
2000,53033007700,"TownhousePlat","2",1,0
2000,53033008700,"TownhousePlat","2",1,0
2000,53033008900,"TownhousePlat","2",1,0
2000,53033009400,"TownhousePlat","2",4,0
2000,53033009500,"TownhousePlat","2",11,0
2000,53033010300,"TownhousePlat","2",4,0
2000,53033010600,"TownhousePlat","2",3,0
2000,53033011101,"TownhousePlat","2",1,0
2000,53033022005,"TownhousePlat","2",16,0
2000,53033022701,"TownhousePlat","2",1,0
2000,53033024400,"TownhousePlat","2",13,0
2000,53033028200,"TownhousePlat","2",22,0
2000,53033028403,"TownhousePlat","2",3,0
2000,53033029303,"TownhousePlat","2",24,0
2000,53033030202,"TownhousePlat","2",27,0
2000,53033031703,"TownhousePlat","2",75,0
2000,53033032008,"TownhousePlat","2",50,0
2000,53033032009,"TownhousePlat","2",35,0
2000,53033001900,"Triplex","2",1,0
2000,53033003000,"Triplex","2",1,0
2000,53033004300,"Triplex","2",2,0
2000,53033004800,"Triplex","2",2,0
2000,53033004900,"Triplex","2",5,0
2000,53033005100,"Triplex","2",1,0
2000,53033005200,"Triplex","2",1,0
2000,53033005400,"Triplex","2",2,0
2000,53033005700,"Triplex","2",1,0
2000,53033005900,"Triplex","2",1,0
2000,53033006000,"Triplex","2",2,0
2000,53033006500,"Triplex","2",1,0
2000,53033006900,"Triplex","2",3,0
2000,53033007600,"Triplex","2",1,0
2000,53033008800,"Triplex","2",1,0
2000,53033009600,"Triplex","2",1,0
2000,53033009701,"Triplex","2",1,0
2000,53033010900,"Triplex","2",1,0
2000,53033011200,"Triplex","2",1,0
2000,53033025102,"Triplex","2",1,0
2000,53033026200,"Triplex","2",2,0
2000,53033027200,"Triplex","2",1,0
2000,53033027800,"Triplex","2",1,0
2000,53033028100,"Triplex","2",1,0
2000,53033029201,"Triplex","2",1,0
2000,53033029901,"Triplex","2",1,0
2000,53033030600,"Triplex","2",1,0
2000,53033030700,"Triplex","2",3,0
2000,53033030902,"Triplex","2",1,0
2000,53033001200,"Vacant(Single-family)","2",1,0
2000,53033001500,"Vacant(Single-family)","2",1,0
2000,53033001600,"Vacant(Single-family)","2",1,0
2000,53033002500,"Vacant(Single-family)","2",1,0
2000,53033004200,"Vacant(Single-family)","2",1,0
2000,53033006100,"Vacant(Single-family)","2",4,0
2000,53033007800,"Vacant(Single-family)","2",1,0
2000,53033008700,"Vacant(Single-family)","2",4,0
2000,53033008900,"Vacant(Single-family)","2",2,0
2000,53033009000,"Vacant(Single-family)","2",1,0
2000,53033009500,"Vacant(Single-family)","2",2,0
2000,53033009600,"Vacant(Single-family)","2",1,0
2000,53033009701,"Vacant(Single-family)","2",2,0
2000,53033009900,"Vacant(Single-family)","2",6,0
2000,53033010400,"Vacant(Single-family)","2",2,0
2000,53033010800,"Vacant(Single-family)","2",3,0
2000,53033011600,"Vacant(Single-family)","2",4,0
2000,53033020200,"Vacant(Single-family)","2",1,0
2000,53033022001,"Vacant(Single-family)","2",1,0
2000,53033022006,"Vacant(Single-family)","2",1,0
2000,53033022203,"Vacant(Single-family)","2",1,0
2000,53033022300,"Vacant(Single-family)","2",1,0
2000,53033022400,"Vacant(Single-family)","2",1,0
2000,53033022500,"Vacant(Single-family)","2",2,0
2000,53033022701,"Vacant(Single-family)","2",1,0
2000,53033022702,"Vacant(Single-family)","2",1,0
2000,53033023100,"Vacant(Single-family)","2",1,0
2000,53033023500,"Vacant(Single-family)","2",1,0
2000,53033024500,"Vacant(Single-family)","2",1,0
2000,53033024602,"Vacant(Single-family)","2",2,0
2000,53033025102,"Vacant(Single-family)","2",3,0
2000,53033026700,"Vacant(Single-family)","2",2,0
2000,53033027200,"Vacant(Single-family)","2",1,0
2000,53033027300,"Vacant(Single-family)","2",1,0
2000,53033027701,"Vacant(Single-family)","2",8,0
2000,53033027702,"Vacant(Single-family)","2",15,0
2000,53033027800,"Vacant(Single-family)","2",3,0
2000,53033027900,"Vacant(Single-family)","2",1,0
2000,53033028000,"Vacant(Single-family)","2",1,0
2000,53033028500,"Vacant(Single-family)","2",2,0
2000,53033028600,"Vacant(Single-family)","2",1,0
2000,53033028700,"Vacant(Single-family)","2",1,0
2000,53033029601,"Vacant(Single-family)","2",1,0
2000,53033030306,"Vacant(Single-family)","2",1,0
2000,53033030403,"Vacant(Single-family)","2",2,0
2000,53033030902,"Vacant(Single-family)","2",2,0
2000,53033031000,"Vacant(Single-family)","2",1,0
2000,53033031202,"Vacant(Single-family)","2",1,0
2000,53033031204,"Vacant(Single-family)","2",5,0
2000,53033031302,"Vacant(Single-family)","2",1,0
2000,53033031502,"Vacant(Single-family)","2",2,0
2000,53033031602,"Vacant(Single-family)","2",1,0
2000,53033031603,"Vacant(Single-family)","2",1,0
2000,53033031703,"Vacant(Single-family)","2",2,0
2000,53033031704,"Vacant(Single-family)","2",1,0
2000,53033032003,"Vacant(Single-family)","2",4,0
2000,53033032009,"Vacant(Single-family)","2",4,0
2000,53033032102,"Vacant(Single-family)","2",2,0
2000,53033032104,"Vacant(Single-family)","2",1,0
2000,53033032203,"Vacant(Single-family)","2",3,0
2000,53033032210,"Vacant(Single-family)","2",5,0
2000,53033032311,"Vacant(Single-family)","2",3,0
2000,53033032315,"Vacant(Single-family)","2",3,0
2000,53033032316,"Vacant(Single-family)","2",1,0
2000,53033032318,"Vacant(Single-family)","2",1,0
2000,53033032401,"Vacant(Single-family)","2",1,0
2000,53033032402,"Vacant(Single-family)","2",1,0
2000,53033032702,"Vacant(Single-family)","2",1,0
2000,53033032703,"Vacant(Single-family)","2",1,0
2000,53033032800,"Vacant(Single-family)","2",3,0
2002,53033000100,"Duplex","2",1,0
2002,53033000200,"Duplex","2",1,0
2002,53033000402,"Duplex","2",4,0
2002,53033000600,"Duplex","2",1,0
2002,53033000700,"Duplex","2",1,0
2002,53033000900,"Duplex","2",3,0
