"Year","GEOID","Residence","Bedrooms","value","moe"
2000,53033000100,"Duplex","2",1,0
2000,53033000200,"Duplex","2",1,0
2000,53033000402,"Duplex","2",4,0
2000,53033000600,"Duplex","2",1,0
2000,53033000700,"Duplex","2",1,0
2000,53033000900,"Duplex","2",4,0
2000,53033001100,"Duplex","2",2,0
2000,53033001200,"Duplex","2",3,0
2000,53033001300,"Duplex","2",8,0
2000,53033001400,"Duplex","2",1,0
2000,53033001500,"Duplex","2",2,0
2000,53033001600,"Duplex","2",1,0
2000,53033001700,"Duplex","2",11,0
2000,53033001800,"Duplex","2",16,0
2000,53033001900,"Duplex","2",4,0
2000,53033002000,"Duplex","2",3,0
2000,53033002100,"Duplex","2",2,0
2000,53033002200,"Duplex","2",2,0
2000,53033002500,"Duplex","2",3,0
2000,53033002600,"Duplex","2",8,0
2000,53033002700,"Duplex","2",5,0
2000,53033002800,"Duplex","2",10,0
2000,53033002900,"Duplex","2",6,0
2000,53033003000,"Duplex","2",7,0
2000,53033003100,"Duplex","2",6,0
2000,53033003200,"Duplex","2",26,0
2000,53033003300,"Duplex","2",40,0
2000,53033003400,"Duplex","2",28,0
2000,53033003500,"Duplex","2",8,0
2000,53033003600,"Duplex","2",6,0
2000,53033003800,"Duplex","2",2,0
2000,53033004100,"Duplex","2",4,0
2000,53033004200,"Duplex","2",7,0
2000,53033004300,"Duplex","2",5,0
2000,53033004400,"Duplex","2",8,0
2000,53033004500,"Duplex","2",3,0
2000,53033004600,"Duplex","2",5,0
2000,53033004700,"Duplex","2",41,0
2000,53033004800,"Duplex","2",22,0
2000,53033004900,"Duplex","2",37,0
2000,53033005000,"Duplex","2",14,0
2000,53033005100,"Duplex","2",14,0
2000,53033005200,"Duplex","2",19,0
2000,53033005301,"Duplex","2",1,0
2000,53033005400,"Duplex","2",33,0
2000,53033005600,"Duplex","2",2,0
2000,53033005700,"Duplex","2",3,0
2000,53033005801,"Duplex","2",2,0
2000,53033005802,"Duplex","2",10,0
