"Year","FID_HRA_20","HRA2010v2_","variable","Education","estimate","SE","CoV"
2009,0,"Auburn-North","C15002A_006","college_grad",1774.92235806269,462.762083506851,0.260722437465914
2009,0,"Auburn-North","C15002A_011","college_grad",1613.04909162286,440.176352085842,0.272884659476165
2009,0,"Auburn-North","C15002B_006","college_grad",103.950492153565,561.509949978635,5.40170554603169
2009,0,"Auburn-North","C15002B_011","college_grad",62.7554559621737,386.480772585825,6.15852066820738
2009,0,"Auburn-North","C15002C_006","college_grad",10.5876989930336,584.731332406369,55.2274231436978
2009,0,"Auburn-North","C15002C_011","college_grad",17.041089545061,517.241487976705,30.3526066575136
2009,0,"Auburn-North","C15002D_006","college_grad",357.479557896159,192.945903528093,0.53973968375596
2009,0,"Auburn-North","C15002D_011","college_grad",306.506767786185,252.228285394544,0.822912613696331
2009,0,"Auburn-North","C15002E_006","college_grad",0,686.833563299931,Inf
2009,0,"Auburn-North","C15002E_011","college_grad",0,686.833563299931,Inf
2009,0,"Auburn-North","C15002F_006","college_grad",20.980304667852,580.713693655101,27.6789924097205
2009,0,"Auburn-North","C15002F_011","college_grad",10.2877006516185,663.345185783936,64.4794408631608
2009,0,"Auburn-North","C15002G_006","college_grad",14.9156231369075,587.778999143904,39.4069355164581
2009,0,"Auburn-North","C15002G_011","college_grad",74.4887424481515,428.122905035767,5.7474846663409
2009,0,"Auburn-North","C15002H_006","college_grad",1767.01882091278,461.283375604572,0.261051761387742
2009,0,"Auburn-North","C15002H_011","college_grad",1580.91273433196,439.376708492341,0.277925972098649
2009,0,"Auburn-North","C15002I_006","college_grad",27.0072929286391,601.173989130802,22.2596907701662
2009,0,"Auburn-North","C15002I_011","college_grad",95.7402097426666,379.097895407418,3.95965181637233
2009,0,"Auburn-North","C15002A_004","hs_grad",2368.95910911622,614.618719338986,0.259446740542634
2009,0,"Auburn-North","C15002A_009","hs_grad",2457.98278180885,623.438003124202,0.253638067661893
2009,0,"Auburn-North","C15002B_004","hs_grad",128.867830153098,394.818730603351,3.06374934795052
2009,0,"Auburn-North","C15002B_009","hs_grad",156.210881726416,471.052747168229,3.0154925313924
2009,0,"Auburn-North","C15002C_004","hs_grad",45.3007411415862,460.434519244003,10.1639511328287
2009,0,"Auburn-North","C15002C_009","hs_grad",22.4446310855181,535.050971086901,23.8387064170607
2009,0,"Auburn-North","C15002D_004","hs_grad",205.206864094261,391.587719593213,1.90825838756222
2009,0,"Auburn-North","C15002D_009","hs_grad",138.948189080547,326.00917977169,2.34626433010009
2009,0,"Auburn-North","C15002E_004","hs_grad",66.0419883697162,410.426942912162,6.21463637064515
2009,0,"Auburn-North","C15002E_009","hs_grad",87.7811056195665,510.8510418412,5.81960136222447
2009,0,"Auburn-North","C15002F_004","hs_grad",79.8238979490676,524.804784924171,6.57453216903824
2009,0,"Auburn-North","C15002F_009","hs_grad",43.9964237813447,581.684222636983,13.2211705553129
2009,0,"Auburn-North","C15002G_004","hs_grad",115.436919141167,517.363342931034,4.48178404950633
2009,0,"Auburn-North","C15002G_009","hs_grad",88.8247498019105,477.30263995396,5.37353205067732
2009,0,"Auburn-North","C15002H_004","hs_grad",2330.61956517272,610.820663877142,0.262085100891133
2009,0,"Auburn-North","C15002H_009","hs_grad",2425.48429033343,622.744088648796,0.256750411095505
2009,0,"Auburn-North","C15002I_004","hs_grad",113.811724938011,375.733420625875,3.30135951133789
2009,0,"Auburn-North","C15002I_009","hs_grad",77.6266719600127,345.875561670641,4.45562785235479
2009,0,"Auburn-North","C15002A_003","less_than_hs",947.456856200919,398.016370827456,0.420089176855407
2009,0,"Auburn-North","C15002A_008","less_than_hs",607.273571476639,297.064028522772,0.489176612445747
2009,0,"Auburn-North","C15002B_003","less_than_hs",30.6788967740023,435.151286690005,14.1840591562197
2009,0,"Auburn-North","C15002B_008","less_than_hs",43.2716689979325,525.369318971537,12.1411845472528
2009,0,"Auburn-North","C15002C_003","less_than_hs",8.58079862369015,619.362543717776,72.1800581600668
2009,0,"Auburn-North","C15002C_008","less_than_hs",9.86873440719269,599.705217238121,60.7681990915708
2009,0,"Auburn-North","C15002D_003","less_than_hs",35.2892113760667,536.743025264126,15.2098333834728
2009,0,"Auburn-North","C15002D_008","less_than_hs",148.748830200258,299.409734183871,2.01285437862457
2009,0,"Auburn-North","C15002E_003","less_than_hs",25.1936095083773,617.437866809143,24.5077175862329
2009,0,"Auburn-North","C15002E_008","less_than_hs",11.0080196298713,609.960170122818,55.4105271094932
2009,0,"Auburn-North","C15002F_003","less_than_hs",130.571790578153,538.531388321235,4.12440838818781
2009,0,"Auburn-North","C15002F_008","less_than_hs",83.1970482113927,539.272546217429,6.48187114580326
2009,0,"Auburn-North","C15002G_003","less_than_hs",38.4347183933664,528.246479824306,13.7439924606154
2009,0,"Auburn-North","C15002G_008","less_than_hs",48.6894230559719,462.158627939475,9.49197174524314
2009,0,"Auburn-North","C15002H_003","less_than_hs",843.374291011971,369.126956800503,0.437678692289261
2009,0,"Auburn-North","C15002H_008","less_than_hs",501.425057082107,274.120720938145,0.546683331968508
2009,0,"Auburn-North","C15002I_003","less_than_hs",263.208512349226,393.631906284886,1.49551358643984
2009,0,"Auburn-North","C15002I_008","less_than_hs",189.3804950298,339.111193261048,1.79063421081294
2009,0,"Auburn-North","C15002A_005","some_college",2693.1023471303,634.505654389785,0.235603988487811
2009,0,"Auburn-North","C15002A_010","some_college",3407.50261788517,637.923269181972,0.1872113805089
2009,0,"Auburn-North","C15002B_005","some_college",142.316352846394,423.67865185028,2.97702016231099
